experiment_id,temperature_C,concentration_mM,catalyst,replicate,yield_percent,reaction_time_min,purity_percent
533,50,0.5,TypeC,10,65.85,53.2,90.1
534,50,0.5,TypeC,11,69.86,36.9,94.2
535,50,1.0,None,1,68.26,33.1,83.7
536,50,1.0,None,2,70.47,57.6,90.8
537,50,1.0,None,3,65.12,32.9,99.9
538,50,1.0,None,4,60.59,50.1,92.0
539,50,1.0,None,5,68.32,56.9,86.7
540,50,1.0,None,6,62.29,48.0,84.0
541,50,1.0,None,7,68.19,51.0,82.3
542,50,1.0,None,8,70.47,37.0,96.6
543,50,1.0,None,9,62.17,60.1,90.8
544,50,1.0,None,10,62.71,56.1,90.1
545,50,1.0,None,11,62.23,36.0,93.2
546,50,1.0,TypeA,1,79.33,40.6,89.6
547,50,1.0,TypeA,2,77.93,37.8,98.1
548,50,1.0,TypeA,3,81.77,36.1,89.0
549,50,1.0,TypeA,4,85.91,51.3,87.4
550,50,1.0,TypeA,5,78.8,39.7,90.6
551,50,1.0,TypeA,6,81.57,38.8,89.1
552,50,1.0,TypeA,7,77.45,48.9,90.6
553,50,1.0,TypeA,8,84.02,37.9,97.1
554,50,1.0,TypeB,1,78.17,43.0,90.8
555,50,1.0,TypeB,2,76.1,33.6,96.2
556,50,1.0,TypeB,3,86.19,63.2,99.0
557,50,1.0,TypeB,4,80.02,47.8,92.9
558,50,1.0,TypeB,5,80.55,53.4,
559,50,1.0,TypeB,6,85.39,54.3,97.6
560,50,1.0,TypeB,7,83.89,38.2,87.7
561,50,1.0,TypeB,8,83.08,45.0,97.6
562,50,1.0,TypeB,9,78.24,54.4,92.8
563,50,1.0,TypeB,10,77.67,54.0,93.6
564,50,1.0,TypeB,11,80.7,37.9,97.5
565,50,1.0,TypeC,1,72.78,61.5,90.8
566,50,1.0,TypeC,2,76.48,47.1,92.7
567,50,1.0,TypeC,3,76.26,35.1,
568,50,1.0,TypeC,4,77.49,50.8,92.4
569,50,1.0,TypeC,5,75.13,58.3,91.7
570,50,1.0,TypeC,6,73.85,36.1,
571,50,1.0,TypeC,7,77.66,48.5,85.1
572,50,1.0,TypeC,8,75.22,47.3,99.6
573,50,1.0,TypeC,9,76.22,54.4,99.9
574,50,1.0,TypeC,10,70.65,62.6,94.8
575,50,5.0,None,1,78.71,42.6,96.7
576,50,5.0,None,2,78.07,33.4,98.1
577,50,5.0,None,3,80.64,42.4,85.3
578,50,5.0,None,4,80.63,43.5,91.1
579,50,5.0,None,5,80.43,46.4,95.9
580,50,5.0,None,6,77.61,44.7,93.1
581,50,5.0,None,7,79.53,41.3,84.6
582,50,5.0,None,8,76.37,38.7,
583,50,5.0,None,9,82.78,63.0,94.4
584,50,5.0,None,10,84.61,38.8,90.8
585,50,5.0,TypeA,1,112.58,36.2,99.0
586,50,5.0,TypeA,2,112.4,43.1,
587,50,5.0,TypeA,3,112.98,48.6,96.2
588,50,5.0,TypeA,4,117.65,49.0,88.0
589,50,5.0,TypeA,5,113.01,46.0,88.9
590,50,5.0,TypeA,6,110.96,53.8,99.9
591,50,5.0,TypeA,7,114.3,26.1,99.9
592,50,5.0,TypeA,8,113.28,44.9,93.6
593,50,5.0,TypeA,9,112.49,57.3,95.4
594,50,5.0,TypeB,1,119.07,43.4,97.2
595,50,5.0,TypeB,2,114.9,35.5,93.0
596,50,5.0,TypeB,3,118.31,32.0,86.6
597,50,5.0,TypeB,4,115.0,55.7,87.5
598,50,5.0,TypeB,5,114.12,29.1,92.1
599,50,5.0,TypeB,6,114.76,40.6,99.4
600,50,5.0,TypeB,7,118.54,23.8,94.9
601,50,5.0,TypeB,8,113.11,37.5,94.4
602,50,5.0,TypeC,1,107.8,27.3,93.8
603,50,5.0,TypeC,2,101.49,33.4,91.4
604,50,5.0,TypeC,3,109.91,21.0,90.2
605,50,5.0,TypeC,4,112.8,20.6,90.3
606,50,5.0,TypeC,5,110.58,55.0,94.8
607,50,5.0,TypeC,6,108.24,34.6,92.5
608,50,5.0,TypeC,7,104.68,52.8,96.9
609,50,5.0,TypeC,8,113.24,39.8,87.8
610,50,5.0,TypeC,9,107.14,40.6,95.8
