campaign_id,date,platform,ad_format,target_audience,budget_usd,impressions,clicks,ctr,conversions,cost_per_click,cost_per_conversion,revenue,roas
272,2024-08-09,Google,search,55+,156.79,11020,359,0.0326,9,0.44,17.42,679.73,4.34
273,2024-08-09,Google,search,45-54,299.38,20730,777,0.0375,45,0.39,6.65,3285.64,10.97
274,2024-08-09,Facebook,video,18-24,126.05,8163,144,0.0177,5,0.88,25.21,127.51,1.01
275,2024-08-09,Facebook,carousel,45-54,107.94,3467,34,0.01,0,3.17,,0.0,0.0
276,2024-08-09,TikTok,carousel,35-44,94.46,6637,65,0.0099,0,1.45,,0.0,0.0
277,2024-08-09,LinkedIn,video,25-34,231.1,13773,114,0.0083,4,2.03,57.77,390.76,1.69
278,2024-08-10,Google,video,25-34,171.93,8590,366,0.0427,15,0.47,11.46,846.2,4.92
279,2024-08-10,Google,video,35-44,244.21,6879,273,0.0397,6,0.89,40.7,504.42,2.07
280,2024-08-10,Facebook,story,35-44,111.71,3769,17,0.0048,0,6.57,,0,0.0
281,2024-08-10,Instagram,story,55+,135.11,4871,72,0.0149,1,1.88,135.11,10,0.07
282,2024-08-10,TikTok,carousel,45-54,82.34,2562,48,0.0188,1,1.72,82.34,79.97,0.97
283,2024-08-10,LinkedIn,carousel,45-54,51.11,873,5,0.0062,0,10.22,,0.0,0.0
284,2024-08-10,LinkedIn,carousel,25-34,177.13,9870,121,0.0123,4,1.46,44.28,219.62,1.24
285,2024-08-11,Google,display,18-24,135.28,1776,60,0.034,2,2.25,67.64,244.54,1.81
286,2024-08-11,Google,video,55+,76.2,2959,93,0.0314,2,0.82,38.1,89.15,1.17
287,2024-08-11,Facebook,search,35-44,136.56,7241,45,0.0063,1,3.03,136.56,72.0,0.53
288,2024-08-11,Instagram,story,55+,163.34,10036,136,0.0136,3,1.2,54.45,332.07,2.03
289,2024-08-11,Instagram,search,35-44,150.18,6139,116,0.019,5,1.29,30.04,329.18,2.19
290,2024-08-11,TikTok,video,18-24,165.11,13032,199,0.0153,6,0.83,27.52,60,0.36
291,2024-08-12,Google,story,35-44,139.4,8946,302,0.0338,10,0.46,13.94,569.89,4.09
292,2024-08-12,Google,display,18-24,253.74,17805,550,0.0309,6,0.46,42.29,143.62,0.57
293,2024-08-12,Facebook,video,55+,257.46,24388,529,0.0217,0,0.49,,0.0,0.0
294,2024-08-12,Instagram,search,25-34,34.34,2563,24,0.0097,0,1.43,,0.0,0.0
295,2024-08-12,TikTok,display,35-44,161.62,9701,111,0.0115,5,1.46,32.32,586.86,3.63
296,2024-08-12,TikTok,story,55+,123.47,7707,173,0.0225,5,0.71,24.69,146.17,1.18
297,2024-08-12,LinkedIn,video,18-24,264.56,10743,87,0.0081,1,3.04,264.56,94.03,0.36
298,2024-08-12,LinkedIn,video,55+,204.98,20841,177,0.0085,0,1.16,,0.0,0.0
299,2024-08-12,LinkedIn,video,45-54,160.95,11850,117,0.0099,1,1.38,160.95,132.48,0.82
300,2024-08-13,Google,search,18-24,163.64,13331,406,0.0305,10,0.4,16.36,134.34,0.82
301,2024-08-13,Google,display,25-34,293.05,12928,441,0.0342,16,0.66,18.32,160,0.55
302,2024-08-13,Google,search,55+,263.88,22282,700,0.0314,5,0.38,52.78,199.5,0.76
303,2024-08-13,Instagram,display,18-24,102.78,9206,177,0.0193,4,0.58,25.7,257.82,2.51
304,2024-08-13,Instagram,search,25-34,213.26,19254,305,0.0158,13,0.7,16.4,1063.92,4.99
305,2024-08-13,Instagram,display,35-44,20,587,10,0.0172,0,2.0,,0.0,0.0
306,2024-08-13,TikTok,display,45-54,20,2328,24,0.0104,0,0.83,,0.0,0.0
307,2024-08-13,TikTok,video,18-24,140.85,8140,81,0.01,1,1.74,140.85,76.26,0.54
308,2024-08-13,TikTok,story,25-34,43.74,2487,33,0.0135,1,1.33,43.74,26.76,0.61
309,2024-08-14,Facebook,video,35-44,119.71,5905,81,0.0137,3,1.48,39.9,148.93,1.24
310,2024-08-14,Facebook,video,45-54,106.8,7274,152,0.021,8,0.7,13.35,801.89,7.51
311,2024-08-14,Facebook,video,55+,96.83,6176,52,0.0085,1,1.86,96.83,46.41,0.48
312,2024-08-14,Instagram,story,18-24,259.92,22470,408,0.0182,15,0.64,17.33,775.56,2.98
313,2024-08-15,Google,carousel,55+,20,1951,58,0.0299,2,0.34,10.0,176.54,8.83
314,2024-08-15,Google,display,35-44,229.17,18881,750,0.0397,11,0.31,20.83,240.58,1.05
315,2024-08-15,Google,story,35-44,100.31,7292,229,0.0315,5,0.44,20.06,231.31,2.31
316,2024-08-15,Facebook,search,25-34,85.48,5039,64,0.0129,2,1.34,42.74,220.3,2.58
317,2024-08-15,Facebook,story,18-24,280.33,19102,71,0.0038,0,3.95,,0.0,0.0
318,2024-08-15,Facebook,carousel,35-44,106.48,5682,69,0.0123,0,1.54,,0.0,0.0
319,2024-08-15,Instagram,story,35-44,196.76,14986,351,0.0235,0,0.56,,0.0,0.0
320,2024-08-15,Instagram,story,35-44,211.04,15552,240,0.0155,6,0.88,35.17,343.45,1.63
321,2024-08-15,TikTok,search,45-54,151.5,11855,182,0.0154,8,0.83,18.94,647.68,4.28
322,2024-08-15,LinkedIn,story,18-24,89.13,4585,72,0.0159,2,1.24,44.56,87.83,0.99
323,2024-08-15,LinkedIn,carousel,25-34,147.42,3956,38,0.0096,1,3.88,147.42,52.69,0.36
324,2024-08-15,LinkedIn,search,45-54,252.45,23834,23,0.001,1,10.98,252.45,,0.2
325,2024-08-16,Google,story,35-44,293.46,19707,463,0.0235,8,0.63,36.68,477.75,1.63
326,2024-08-16,Google,video,55+,273.76,20366,681,0.0335,17,0.4,16.1,1558.67,5.69
327,2024-08-16,Facebook,video,35-44,128.63,12174,67,0.0056,1,1.92,128.63,58.35,0.45
328,2024-08-16,Facebook,carousel,45-54,50.68,5519,35,0.0064,0,1.45,,0.0,0.0
329,2024-08-16,Facebook,video,55+,162.02,8928,128,0.0144,1,1.27,162.02,32.94,0.2
330,2024-08-16,TikTok,story,45-54,139.83,10080,237,0.0235,6,0.59,23.31,214.6,1.53
331,2024-08-16,LinkedIn,story,18-24,256.84,23594,43,0.0019,1,5.97,256.84,18.95,0.07
332,2024-08-16,LinkedIn,story,25-34,41.69,975,0,0.001,0,41.69,,0.0,0.0
333,2024-08-16,LinkedIn,carousel,45-54,233.86,18555,184,0.01,6,1.27,38.98,342.78,1.47
334,2024-08-17,Google,search,45-54,128.5,8829,287,0.0326,4,0.45,32.12,252.22,1.96
335,2024-08-17,Instagram,search,25-34,86.75,5306,62,0.0117,2,1.4,43.38,53.58,0.62
336,2024-08-17,Instagram,video,25-34,189.08,8821,126,0.0144,2,1.5,94.54,219.3,1.16
337,2024-08-17,TikTok,video,35-44,37.67,2860,36,0.0127,1,1.05,37.67,21.36,0.57
338,2024-08-18,Google,story,45-54,205.52,3137,115,0.0368,7,1.79,29.36,779.42,3.79
339,2024-08-18,Google,carousel,35-44,28.28,1177,46,0.0395,0,0.61,,0.0,0.0
340,2024-08-18,Instagram,search,25-34,129.38,7944,117,0.0148,5,1.11,25.88,279.29,2.16
341,2024-08-18,Instagram,search,55+,82.94,2028,29,0.0145,0,2.86,,0.0,0.0
342,2024-08-18,TikTok,carousel,45-54,121.14,3075,78,0.0255,1,1.55,121.14,68.18,0.56
343,2024-08-18,LinkedIn,display,45-54,111.27,6320,89,0.0142,2,1.25,55.63,92.91,0.83
344,2024-08-19,Google,search,25-34,173.47,20355,647,0.0318,6,0.27,28.91,747.49,4.31
345,2024-08-19,Google,story,18-24,69.69,6849,318,0.0465,13,0.22,5.36,1133.34,16.26
346,2024-08-19,Google,carousel,35-44,78.98,4092,135,0.0332,3,0.59,26.33,402.9,5.1
347,2024-08-19,Facebook,search,18-24,59.26,5865,50,0.0086,0,1.19,,0.0,0.0
348,2024-08-19,Instagram,carousel,45-54,67.53,5604,66,0.0119,4,1.02,16.88,468.27,6.93
349,2024-08-19,Instagram,search,18-24,127.3,5994,96,0.016,4,1.33,31.82,127.25,1.0
350,2024-08-19,Instagram,search,25-34,35.19,2869,39,0.0138,0,0.9,,0.0,0.0
351,2024-08-19,TikTok,search,35-44,92.29,5999,92,0.0153,1,1.0,92.29,59.79,0.65
352,2024-08-19,TikTok,carousel,18-24,28.67,2197,30,0.0138,1,0.96,28.67,42.28,1.47
353,2024-08-19,LinkedIn,display,55+,156.9,2716,23,0.0085,0,6.82,,0.0,0.0
354,2024-08-19,LinkedIn,video,55+,290.33,17119,64,0.0038,1,4.54,290.33,99.96,0.34
355,2024-08-19,LinkedIn,search,45-54,101.19,5925,49,0.0084,1,2.07,101.19,66.62,0.66
356,2024-08-20,Google,video,55+,152.68,100,3,0.0333,0,50.89,,0.0,0.0
357,2024-08-20,Google,display,55+,126.87,6253,251,0.0402,14,0.51,9.06,1329.61,10.48
358,2024-08-20,Google,video,35-44,210.83,14330,537,0.0375,12,0.39,17.57,854.42,4.05
359,2024-08-20,Facebook,search,25-34,144.65,7881,181,0.023,7,0.8,20.66,331.38,2.29
360,2024-08-20,Instagram,story,45-54,217.06,12043,171,0.0143,4,1.27,54.27,261.06,1.2
361,2024-08-20,LinkedIn,video,45-54,26.78,1817,10,0.0057,0,2.68,,0.0,0.0
362,2024-08-21,Google,video,25-34,154.72,6117,202,0.0331,1,0.77,154.72,58.26,0.38
363,2024-08-21,Facebook,display,35-44,100.18,6475,107,0.0165,2,0.94,50.09,51.51,0.51
364,2024-08-21,Facebook,carousel,55+,207.23,16067,129,0.0081,5,1.61,41.45,415.42,2.0
365,2024-08-21,Facebook,video,55+,96.83,7848,77,0.0099,2,1.26,48.41,149.73,1.55
366,2024-08-21,Instagram,carousel,18-24,135.65,3081,59,0.0192,0,2.3,,0.0,0.0
367,2024-08-21,Instagram,display,25-34,188.92,16351,224,0.0137,6,0.84,31.49,265.97,1.41
368,2024-08-21,TikTok,story,45-54,266.66,15408,213,0.0138,13,1.25,20.51,454.68,1.71
369,2024-08-21,TikTok,carousel,45-54,237.09,11559,201,0.0174,8,1.18,29.64,231.31,0.98
370,2024-08-21,TikTok,story,45-54,170.75,6708,150,0.0225,7,1.14,24.39,460.32,2.7
371,2024-08-21,LinkedIn,carousel,18-24,92.91,4845,25,0.0053,0,3.72,,0.0,0.0
372,2024-08-22,TikTok,story,18-24,200.59,16172,358,0.0222,9,0.56,22.29,1184.06,5.9
373,2024-08-22,TikTok,display,25-34,128.71,4855,60,0.0124,0,2.15,,0.0,0.0
374,2024-08-22,LinkedIn,story,18-24,105.44,3058,17,0.0058,0,6.2,,0.0,0.0
375,2024-08-23,Google,story,25-34,115.36,13737,461,0.0336,14,0.25,8.24,592.98,5.14
376,2024-08-23,Facebook,search,55+,109.06,7722,101,0.0132,4,1.08,27.27,365.87,3.35
377,2024-08-23,Facebook,video,18-24,220.66,12105,195,0.0161,5,1.13,44.13,360.69,1.63
378,2024-08-23,Instagram,display,45-54,166.33,15209,213,0.014,10,0.78,16.63,363.1,2.18
379,2024-08-23,Instagram,search,18-24,20,635,10,0.0172,0,2.0,,0.0,0.0
380,2024-08-23,Instagram,video,25-34,38.25,4024,57,0.0142,1,0.67,38.25,32.74,0.86
381,2024-08-23,LinkedIn,search,35-44,65.76,3535,3,0.001,0,21.92,,0.0,0.0
382,2024-08-23,LinkedIn,video,55+,113.55,11019,83,0.0075,1,1.37,113.55,98.7,0.87
383,2024-08-23,LinkedIn,story,55+,32.74,1259,10,0.0084,0,3.27,,0.0,0.0
384,2024-08-24,Google,display,45-54,159.08,4372,119,0.0273,1,1.34,159.08,59.82,0.38
385,2024-08-24,TikTok,story,18-24,98.74,3114,39,0.0127,2,2.53,49.37,122.41,1.24
386,2024-08-24,TikTok,search,45-54,174.84,6611,181,0.0274,1,0.97,174.84,42.36,0.24
387,2024-08-25,Google,video,35-44,125.67,9903,374,0.0378,17,0.34,7.39,649.24,5.17
388,2024-08-25,Google,carousel,18-24,105.92,7730,206,0.0267,4,0.51,26.48,384.24,3.63
389,2024-08-25,Instagram,display,45-54,20,1536,16,0.0107,0,1.25,,0.0,0.0
390,2024-08-25,TikTok,search,35-44,61.63,3789,101,0.0269,0,0.61,,0.0,0.0
391,2024-08-25,TikTok,search,18-24,201.68,11498,124,0.0109,3,1.63,67.23,176.16,0.87
392,2024-08-25,TikTok,carousel,35-44,187.61,15980,261,0.0164,9,0.72,20.85,206.77,1.1
393,2024-08-25,LinkedIn,story,35-44,329.45,17249,65,0.0038,1,5.07,329.45,69.41,0.21
394,2024-08-25,LinkedIn,video,45-54,156.9,3474,47,0.0136,1,3.34,156.9,90.78,0.58
395,2024-08-25,LinkedIn,story,45-54,59.87,2857,27,0.0095,0,2.22,,0.0,0.0
396,2024-08-26,Google,video,25-34,130.15,7241,254,0.0351,10,0.51,13.02,988.01,7.59
397,2024-08-26,Instagram,display,55+,20,1280,26,0.0207,0,0.77,,0.0,0.0
398,2024-08-26,Instagram,story,45-54,298.94,20489,262,0.0128,7,1.14,42.71,195.6,0.65
399,2024-08-26,LinkedIn,carousel,25-34,196.82,11374,40,0.0036,1,4.92,196.82,87.56,0.44
400,2024-08-26,LinkedIn,video,25-34,106.42,11768,131,0.0112,3,0.81,35.47,144.78,1.36
401,2024-08-27,Instagram,carousel,35-44,31.29,2319,41,0.018,0,0.76,,0,0.0
402,2024-08-27,TikTok,display,55+,40.14,2272,43,0.019,1,0.93,40.14,77.47,1.93
403,2024-08-27,TikTok,display,18-24,266.1,11543,158,0.0138,5,1.68,53.22,106.75,0.4
404,2024-08-27,LinkedIn,search,55+,183.48,13195,65,0.005,3,2.82,61.16,49.12,0.27
405,2024-08-28,Google,display,55+,28.86,3167,130,0.0413,4,0.22,7.21,408.12,14.14
406,2024-08-28,Facebook,carousel,18-24,228.11,22285,236,0.0106,8,0.97,28.51,746.06,3.27
407,2024-08-28,Instagram,search,45-54,86.02,7536,128,0.0171,4,0.67,21.5,314.64,3.66
408,2024-08-28,Instagram,story,55+,103.0,4499,86,0.0192,2,1.2,51.5,149.77,1.45
409,2024-08-29,Google,story,55+,221.45,15349,433,0.0282,11,0.51,20.13,1270.39,5.74
410,2024-08-29,Facebook,carousel,25-34,268.94,20845,375,0.018,2,0.72,134.47,110.71,0.41
411,2024-08-29,Facebook,video,55+,77.87,8682,100,0.0115,4,0.78,19.47,117.54,1.51
412,2024-08-29,Instagram,search,25-34,83.13,7007,21,0.0031,0,3.96,,0.0,0.0
413,2024-08-29,Instagram,carousel,45-54,246.68,13439,229,0.0171,2,1.08,123.34,83.97,0.34
414,2024-08-29,Instagram,display,35-44,67.65,4562,68,0.015,2,0.99,33.83,56.64,0.84
415,2024-08-30,Google,carousel,35-44,133.06,5976,190,0.0319,7,0.7,19.01,608.15,4.57
416,2024-08-30,Google,display,18-24,263.9,15883,673,0.0424,23,0.39,11.47,2279.25,8.64
417,2024-08-30,Facebook,carousel,35-44,90.4,6102,68,0.0112,1,1.33,90.4,104.75,1.16
418,2024-08-30,Facebook,search,35-44,226.21,9751,256,0.0263,4,0.88,56.55,278.47,1.23
419,2024-08-30,Facebook,story,45-54,53.42,3478,52,0.0151,0,1.03,,0.0,0.0
420,2024-08-30,Instagram,display,25-34,75.56,5112,63,0.0124,1,1.2,75.56,108.45,1.44
421,2024-08-30,Instagram,video,45-54,113.95,7065,90,0.0128,3,1.27,37.98,171.1,1.5
422,2024-08-30,LinkedIn,search,55+,110.56,7825,111,0.0143,4,1.0,27.64,40,0.36
423,2024-08-31,Google,story,18-24,107.87,8000,275,0.0344,9,0.39,11.99,722.49,6.7
424,2024-08-31,Facebook,video,25-34,171.65,10618,181,0.0171,12,0.95,14.3,793.8,4.62
425,2024-08-31,Facebook,carousel,18-24,207.74,11320,202,0.0179,8,1.03,25.97,517.3,2.49
426,2024-08-31,Facebook,video,35-44,100.74,6024,33,0.0055,0,3.05,,0.0,0.0
427,2024-08-31,TikTok,search,45-54,176.94,8915,168,0.0189,4,1.05,44.23,64.26,0.36
428,2024-08-31,LinkedIn,story,25-34,130.22,9468,135,0.0143,4,0.96,32.55,76.84,0.59
429,2024-08-31,LinkedIn,display,18-24,211.13,12167,126,0.0104,4,1.68,52.78,213.54,1.01
430,2024-08-31,LinkedIn,carousel,35-44,122.51,5177,40,0.0077,0,3.06,,0.0,0.0
431,2024-09-01,Instagram,carousel,35-44,97.62,7044,106,0.0151,4,0.92,24.41,135.59,1.39
432,2024-09-01,TikTok,carousel,45-54,117.04,5125,79,0.0155,2,1.48,58.52,166.95,1.43
433,2024-09-01,TikTok,video,18-24,68.25,6178,98,0.0159,0,0.7,,0.0,0.0
434,2024-09-01,TikTok,display,55+,20,518,14,0.0271,0,1.43,,0.0,0.0
435,2024-09-02,LinkedIn,story,18-24,140.44,10092,10,0.001,0,14.04,,0.0,0.0
436,2024-09-02,LinkedIn,story,18-24,196.5,18246,143,0.0078,2,1.37,98.25,101.43,0.52
437,2024-09-03,Google,display,18-24,203.52,12224,496,0.0407,20,0.41,10.18,600.02,2.95
438,2024-09-03,Facebook,video,35-44,242.94,22215,377,0.017,16,0.64,15.18,1298.77,5.35
439,2024-09-03,Facebook,display,25-34,152.39,8777,158,0.0181,4,0.96,38.1,282.87,1.86
440,2024-09-03,Instagram,search,35-44,46.94,3132,60,0.0193,0,0.78,,0.0,0.0
441,2024-09-03,Instagram,video,45-54,147.25,9948,108,0.011,5,1.36,29.45,371.28,2.52
442,2024-09-03,TikTok,video,25-34,33.86,2717,26,0.0097,1,1.3,33.86,81.33,2.4
443,2024-09-03,TikTok,video,18-24,129.15,10828,184,0.017,8,0.7,16.14,729.96,5.65
444,2024-09-03,LinkedIn,story,55+,245.56,13662,169,0.0124,7,1.45,35.08,281.05,1.14
445,2024-09-04,Facebook,video,45-54,98.76,8635,157,0.0182,6,0.63,16.46,,4.48
446,2024-09-04,Facebook,story,25-34,225.77,13666,89,0.0066,2,2.54,112.89,104.39,0.46
447,2024-09-04,Facebook,carousel,45-54,223.37,25476,596,0.0234,15,0.37,14.89,1298.27,5.81
448,2024-09-04,Instagram,carousel,25-34,95.19,6834,77,0.0114,1,1.24,95.19,68.1,0.72
449,2024-09-04,Instagram,display,25-34,176.58,14002,144,0.0103,3,1.23,58.86,251.88,1.43
450,2024-09-04,TikTok,display,45-54,92.68,5098,39,0.0078,1,2.38,92.68,30.96,0.33
451,2024-09-04,TikTok,search,18-24,45.52,1521,25,0.0165,0,1.82,,0.0,0.0
452,2024-09-05,Google,video,18-24,20,1174,38,0.0325,0,0.53,,0.0,0.0
453,2024-09-05,Google,story,18-24,75.75,4504,139,0.0309,1,0.54,75.75,71.39,0.94
454,2024-09-05,Google,search,35-44,31.49,1924,71,0.037,2,0.44,15.74,265.93,8.44
455,2024-09-05,Facebook,carousel,25-34,20,1922,17,0.0092,0,1.18,,0.0,0.0
456,2024-09-05,Facebook,search,45-54,133.93,10638,164,0.0154,3,0.82,44.64,227.86,1.7
457,2024-09-05,Instagram,carousel,25-34,121.92,12359,201,0.0163,3,0.61,40.64,165.76,1.36
458,2024-09-05,Instagram,story,18-24,68.78,604,11,0.0185,0,6.25,,0.0,0.0
459,2024-09-06,Google,carousel,55+,273.94,18026,531,0.0295,13,0.52,21.07,559.05,2.04
460,2024-09-06,Google,display,25-34,176.77,9007,301,0.0334,6,0.59,29.46,424.7,2.4
461,2024-09-06,Google,video,45-54,190.06,13619,434,0.0319,10,0.44,19.01,696.67,3.67
462,2024-09-06,Facebook,video,45-54,147.99,13607,60,0.0045,0,2.47,,0.0,0.0
463,2024-09-06,Instagram,carousel,35-44,29.4,1902,16,0.0085,0,1.84,,0.0,0.0
464,2024-09-06,Instagram,display,25-34,147.41,10048,215,0.0214,7,0.69,21.06,388.65,2.64
465,2024-09-06,LinkedIn,search,25-34,205.18,21511,261,0.0122,8,0.79,25.65,98.57,0.48
466,2024-09-06,LinkedIn,video,45-54,41.48,2725,28,0.0103,0,1.48,,0.0,0.0
467,2024-09-06,LinkedIn,display,35-44,95.31,6167,51,0.0083,1,1.87,95.31,60.55,0.64
468,2024-09-07,Google,story,35-44,60.13,3691,128,0.0347,6,0.47,10.02,201.89,3.36
469,2024-09-07,Google,video,25-34,128.05,6560,255,0.0389,6,0.5,21.34,308.91,2.41
470,2024-09-07,Google,story,45-54,160.7,6027,254,0.0422,9,0.63,17.86,673.77,4.19
471,2024-09-07,Facebook,display,35-44,79.22,2657,34,0.0129,0,2.33,,0.0,0.0
472,2024-09-07,Facebook,carousel,25-34,209.91,12838,173,0.0135,8,1.21,26.24,874.46,4.17
473,2024-09-07,Facebook,video,45-54,221.36,11434,118,0.0104,3,1.88,73.79,339.98,1.54
474,2024-09-07,Instagram,video,25-34,167.28,4176,91,0.0219,3,1.84,55.76,156.9,0.94
475,2024-09-07,Instagram,search,18-24,132.29,6554,118,0.018,2,1.12,66.14,82.34,0.62
476,2024-09-07,Instagram,story,25-34,122.73,4422,115,0.0262,2,1.07,61.37,177.54,1.45
477,2024-09-07,TikTok,carousel,25-34,101.15,5144,111,0.0216,3,0.91,33.72,102.92,1.02
478,2024-09-07,TikTok,search,35-44,187.59,10501,196,0.0187,5,0.96,37.52,662.23,3.53
479,2024-09-07,LinkedIn,video,25-34,169.03,11413,172,0.0151,8,0.98,21.13,139.57,0.83
480,2024-09-07,LinkedIn,story,45-54,120.6,4456,52,0.0118,1,2.32,120.6,51.4,0.43
481,2024-09-07,LinkedIn,display,18-24,99.38,2678,8,0.0034,0,12.42,,0.0,0.0
482,2024-09-08,Google,search,55+,20,1259,47,0.0379,1,0.43,20.0,50.62,2.53
483,2024-09-08,Google,display,25-34,59.77,2464,85,0.0346,1,0.7,59.77,72.55,1.21
484,2024-09-08,Facebook,carousel,25-34,169.31,8007,119,0.0149,3,1.42,56.44,197.55,1.17
485,2024-09-08,Facebook,search,55+,194.54,10282,48,0.0048,0,4.05,,0.0,0.0
486,2024-09-08,Facebook,search,45-54,98.08,5158,90,0.0175,3,1.09,32.69,216.37,2.21
487,2024-09-08,Instagram,video,35-44,218.04,5942,33,0.0056,1,6.61,218.04,41.79,0.19
488,2024-09-08,Instagram,video,45-54,123.54,6500,90,0.014,2,1.37,61.77,183.34,1.48
489,2024-09-08,Instagram,video,45-54,117.89,6648,74,0.0112,3,1.59,39.3,266.96,2.26
490,2024-09-09,Google,carousel,45-54,71.96,5115,175,0.0343,1,0.41,71.96,85.18,1.18
491,2024-09-09,Google,story,45-54,48.15,2729,56,0.0207,1,0.86,48.15,56.0,1.16
492,2024-09-09,Instagram,carousel,18-24,121.71,6496,111,0.0172,2,1.1,60.85,22.58,0.19
493,2024-09-09,Instagram,story,55+,201.77,18003,248,0.0138,5,0.81,40.35,364.08,1.8
494,2024-09-09,Instagram,video,18-24,157.4,8669,117,0.0136,5,1.35,31.48,258.81,1.64
495,2024-09-09,TikTok,story,25-34,35.92,2288,22,0.0099,0,1.63,,0.0,0.0
496,2024-09-09,TikTok,video,18-24,241.21,18676,296,0.0159,9,0.81,26.8,318.93,1.32
497,2024-09-09,TikTok,display,45-54,175.47,13931,259,0.0187,0,0.68,,0.0,0.0
498,2024-09-09,LinkedIn,carousel,35-44,300.31,22176,332,0.015,14,0.9,21.45,470.45,1.57
499,2024-09-09,LinkedIn,story,45-54,147.6,15116,53,0.0036,0,2.78,,0.0,0.0
500,2024-09-10,Facebook,carousel,35-44,178.36,12487,70,0.0056,2,2.55,89.18,116.72,0.65
501,2024-09-11,Instagram,carousel,35-44,173.23,9337,115,0.0124,3,1.51,57.74,57.02,0.33
502,2024-09-11,Instagram,search,45-54,142.46,9216,115,0.0125,1,1.24,142.46,143.14,1.0
503,2024-09-11,Instagram,carousel,18-24,97.97,10787,200,0.0186,6,0.49,16.33,236.98,2.42
504,2024-09-11,LinkedIn,video,25-34,156.0,15007,289,0.0193,8,0.54,19.5,924.74,5.93
505,2024-09-11,LinkedIn,search,55+,20,281,4,0.0158,0,5.0,,0.0,0.0
506,2024-09-12,Facebook,carousel,25-34,256.11,25308,465,0.0184,15,0.55,17.07,549.83,2.15
507,2024-09-12,Facebook,carousel,18-24,248.83,17993,279,0.0155,1,0.89,248.83,70.52,0.28
508,2024-09-12,Instagram,display,25-34,236.71,9846,164,0.0167,9,1.44,26.3,853.16,3.6
509,2024-09-12,Instagram,search,25-34,123.74,10453,66,0.0064,1,1.87,123.74,85.2,0.69
510,2024-09-12,Instagram,carousel,18-24,20,1621,16,0.01,0,1.25,,0.0,0.0
511,2024-09-12,TikTok,carousel,45-54,199.65,13558,274,0.0202,8,0.73,24.96,485.65,2.43
512,2024-09-12,TikTok,search,55+,40.08,2328,21,0.0094,0,1.91,,0.0,0.0
513,2024-09-12,LinkedIn,video,35-44,81.88,5860,33,0.0058,0,2.48,,0.0,0.0
514,2024-09-12,LinkedIn,display,35-44,57.58,5820,15,0.0026,0,3.84,,0.0,0.0
515,2024-09-12,LinkedIn,carousel,55+,20,1818,32,0.0178,0,0.62,,0.0,0.0
516,2024-09-13,Google,display,35-44,75.36,4045,138,0.0342,2,0.55,37.68,64.34,0.85
517,2024-09-13,Instagram,search,18-24,131.07,8237,132,0.0161,2,0.99,65.53,143.22,1.09
518,2024-09-13,Instagram,carousel,55+,280.76,26621,237,0.0089,8,1.18,35.09,758.83,2.7
519,2024-09-13,TikTok,video,18-24,186.64,13811,328,0.0238,8,0.57,23.33,449.94,2.41
520,2024-09-13,TikTok,search,25-34,104.76,2935,62,0.0212,2,1.69,52.38,20,0.19
521,2024-09-14,Google,display,55+,96.84,3300,113,0.0343,4,0.86,24.21,40,0.41
522,2024-09-14,Google,story,25-34,65.52,561,22,0.0392,0,2.98,,0.0,0.0
523,2024-09-14,Facebook,story,35-44,144.58,9856,122,0.0124,3,1.19,48.19,73.66,0.51
524,2024-09-14,Instagram,display,35-44,326.5,19442,85,0.0044,3,3.84,108.83,188.53,0.58
525,2024-09-14,Instagram,story,45-54,320.47,22375,297,0.0133,22,1.08,14.57,1984.65,6.19
526,2024-09-14,Instagram,carousel,18-24,20,1229,25,0.0208,0,0.8,,0.0,0.0
527,2024-09-14,TikTok,video,55+,164.9,7060,135,0.0192,5,1.22,32.98,401.17,2.43
528,2024-09-14,TikTok,search,45-54,205.46,9287,125,0.0135,2,1.64,102.73,167.37,0.81
529,2024-09-14,TikTok,carousel,18-24,171.42,5865,73,0.0125,1,2.35,171.42,50.73,0.3
530,2024-09-14,LinkedIn,carousel,55+,144.07,1962,15,0.0079,0,9.6,,0,0.0
531,2024-09-15,Google,display,55+,148.57,11042,363,0.0329,5,0.41,29.71,551.43,3.71
532,2024-09-15,Google,search,55+,20,111,3,0.0301,0,6.67,,0.0,0.0
533,2024-09-15,Google,display,25-34,262.18,6427,187,0.0291,4,1.4,65.55,193.66,0.74
534,2024-09-15,TikTok,story,55+,146.67,9912,221,0.0224,9,0.66,16.3,627.26,4.28
535,2024-09-15,LinkedIn,carousel,55+,205.27,13031,138,0.0106,3,1.49,68.42,227.37,1.11
536,2024-09-16,Google,video,55+,194.76,10176,287,0.0282,4,0.68,48.69,193.0,0.99
537,2024-09-16,Google,carousel,45-54,78.36,4176,85,0.0205,2,0.92,39.18,131.95,1.68
538,2024-09-16,Google,story,35-44,97.41,3901,130,0.0335,4,0.75,24.35,209.4,2.15
539,2024-09-16,Facebook,story,25-34,117.86,5963,131,0.0221,5,0.9,23.57,206.54,1.75
540,2024-09-16,Facebook,story,35-44,102.91,9374,172,0.0184,7,0.6,14.7,402.99,3.92
541,2024-09-16,Instagram,search,18-24,116.12,6628,119,0.018,6,0.98,19.35,430.65,3.71
542,2024-09-16,Instagram,search,55+,262.53,10472,202,0.0194,7,1.3,37.5,685.72,2.61
543,2024-09-16,Instagram,video,55+,68.61,2996,48,0.0161,1,1.43,68.61,51.09,0.74
