experiment_id,drug_name,cell_line,concentration_uM,viability_percent,log_concentration,replicate,passage_number,treatment_hours,ic50_estimated
369,Cisplatin,HCT116,5.0,46.68,0.699,3,19,72,5.2208
370,Cisplatin,HCT116,10.0,31.08,1.0,1,19,72,5.2208
371,Cisplatin,HCT116,10.0,41.14,1.0,2,19,48,5.2208
372,Cisplatin,HCT116,10.0,35.08,1.0,3,19,24,5.2208
373,Cisplatin,HCT116,50.0,21.93,1.699,1,19,48,5.2208
374,Cisplatin,HCT116,50.0,12.36,1.699,2,19,48,5.2208
375,Cisplatin,HCT116,50.0,13.43,1.699,3,19,24,5.2208
376,Cisplatin,HCT116,100.0,8.63,2.0,1,19,48,5.2208
377,Cisplatin,HCT116,100.0,8.34,2.0,2,19,72,5.2208
378,Cisplatin,HCT116,100.0,8.05,2.0,3,19,72,5.2208
379,Cisplatin,PC-3,0.001,99.33,-3.0,1,6,48,5.1662
380,Cisplatin,PC-3,0.001,100.79,-3.0,2,6,48,5.1662
381,Cisplatin,PC-3,0.001,100.7,-3.0,3,6,48,5.1662
382,Cisplatin,PC-3,0.01,98.79,-2.0,1,6,24,5.1662
383,Cisplatin,PC-3,0.01,96.45,-2.0,2,6,72,5.1662
384,Cisplatin,PC-3,0.01,98.88,-2.0,3,6,24,5.1662
385,Cisplatin,PC-3,0.1,95.03,-1.0,1,6,24,5.1662
386,Cisplatin,PC-3,0.1,99.45,-1.0,2,6,48,5.1662
387,Cisplatin,PC-3,0.1,90.95,-1.0,3,6,48,5.1662
388,Cisplatin,PC-3,0.5,87.64,-0.301,1,6,72,5.1662
389,Cisplatin,PC-3,0.5,87.09,-0.301,2,6,48,5.1662
390,Cisplatin,PC-3,0.5,82.99,-0.301,3,6,24,5.1662
391,Cisplatin,PC-3,1.0,82.66,0.0,1,6,72,5.1662
392,Cisplatin,PC-3,1.0,81.63,0.0,2,6,24,5.1662
393,Cisplatin,PC-3,1.0,80.29,0.0,3,6,72,5.1662
394,Cisplatin,PC-3,5.0,56.57,0.699,1,6,72,5.1662
395,Cisplatin,PC-3,5.0,51.24,0.699,2,6,48,5.1662
396,Cisplatin,PC-3,5.0,46.27,0.699,3,6,48,5.1662
397,Cisplatin,PC-3,10.0,40.51,1.0,1,6,24,5.1662
398,Cisplatin,PC-3,10.0,35.16,1.0,2,6,24,5.1662
399,Cisplatin,PC-3,10.0,33.38,1.0,3,6,72,5.1662
400,Cisplatin,PC-3,50.0,15.34,1.699,1,6,72,5.1662
401,Cisplatin,PC-3,50.0,18.75,1.699,2,6,24,5.1662
402,Cisplatin,PC-3,50.0,12.66,1.699,3,6,72,5.1662
403,Cisplatin,PC-3,100.0,,2.0,1,6,24,5.1662
404,Cisplatin,PC-3,100.0,6.93,2.0,2,6,72,5.1662
405,Cisplatin,PC-3,100.0,3.66,2.0,3,6,48,5.1662
406,Methotrexate,MCF-7,0.001,100.49,-3.0,1,27,48,0.7993
407,Methotrexate,MCF-7,0.001,100.97,-3.0,2,27,48,0.7993
408,Methotrexate,MCF-7,0.001,103.47,-3.0,3,27,48,0.7993
409,Methotrexate,MCF-7,0.01,97.9,-2.0,1,27,24,0.7993
410,Methotrexate,MCF-7,0.01,93.62,-2.0,2,27,48,0.7993
411,Methotrexate,MCF-7,0.01,100.72,-2.0,3,27,24,0.7993
412,Methotrexate,MCF-7,0.1,90.73,-1.0,1,27,48,0.7993
413,Methotrexate,MCF-7,0.1,97.08,-1.0,2,27,48,0.7993
414,Methotrexate,MCF-7,0.1,90.79,-1.0,3,27,24,0.7993
415,Methotrexate,MCF-7,0.5,65.12,-0.301,1,27,48,0.7993
416,Methotrexate,MCF-7,0.5,61.92,-0.301,2,27,72,0.7993
417,Methotrexate,MCF-7,0.5,61.28,-0.301,3,27,24,0.7993
418,Methotrexate,MCF-7,1.0,45.8,0.0,1,27,48,0.7993
419,Methotrexate,MCF-7,1.0,45.74,0.0,2,27,48,0.7993
420,Methotrexate,MCF-7,1.0,44.33,0.0,3,27,72,0.7993
421,Methotrexate,MCF-7,5.0,14.64,0.699,1,27,24,0.7993
422,Methotrexate,MCF-7,5.0,9.92,0.699,2,27,48,0.7993
423,Methotrexate,MCF-7,5.0,12.56,0.699,3,27,24,0.7993
424,Methotrexate,MCF-7,10.0,10.15,1.0,1,27,24,0.7993
425,Methotrexate,MCF-7,10.0,3.79,1.0,2,27,72,0.7993
426,Methotrexate,MCF-7,10.0,9.65,1.0,3,27,48,0.7993
427,Methotrexate,MCF-7,50.0,2.11,1.699,1,27,24,0.7993
428,Methotrexate,MCF-7,50.0,2.93,1.699,2,27,72,0.7993
429,Methotrexate,MCF-7,50.0,,1.699,3,27,24,0.7993
430,Methotrexate,MCF-7,100.0,7.56,2.0,1,27,72,0.7993
431,Methotrexate,MCF-7,100.0,5.52,2.0,2,27,24,0.7993
432,Methotrexate,MCF-7,100.0,1.22,2.0,3,27,48,0.7993
433,Methotrexate,HeLa,0.001,96.9,-3.0,1,24,24,0.9206
434,Methotrexate,HeLa,0.001,100.12,-3.0,2,24,72,0.9206
435,Methotrexate,HeLa,0.001,96.88,-3.0,3,24,48,0.9206
436,Methotrexate,HeLa,0.01,98.76,-2.0,1,24,48,0.9206
437,Methotrexate,HeLa,0.01,102.33,-2.0,2,24,48,0.9206
438,Methotrexate,HeLa,0.01,95.47,-2.0,3,24,48,0.9206
439,Methotrexate,HeLa,0.1,92.77,-1.0,1,24,48,0.9206
440,Methotrexate,HeLa,0.1,91.61,-1.0,2,24,24,0.9206
441,Methotrexate,HeLa,0.1,86.07,-1.0,3,24,48,0.9206
442,Methotrexate,HeLa,0.5,60.76,-0.301,1,24,72,0.9206
443,Methotrexate,HeLa,0.5,62.27,-0.301,2,24,72,0.9206
444,Methotrexate,HeLa,0.5,64.05,-0.301,3,24,72,0.9206
445,Methotrexate,HeLa,1.0,46.5,0.0,1,24,24,0.9206
446,Methotrexate,HeLa,1.0,51.33,0.0,2,24,72,0.9206
447,Methotrexate,HeLa,1.0,51.87,0.0,3,24,72,0.9206
448,Methotrexate,HeLa,5.0,18.32,0.699,1,24,24,0.9206
449,Methotrexate,HeLa,5.0,16.27,0.699,2,24,48,0.9206
450,Methotrexate,HeLa,5.0,17.67,0.699,3,24,48,0.9206
451,Methotrexate,HeLa,10.0,11.29,1.0,1,24,24,0.9206
452,Methotrexate,HeLa,10.0,8.79,1.0,2,24,72,0.9206
453,Methotrexate,HeLa,10.0,11.65,1.0,3,24,24,0.9206
454,Methotrexate,HeLa,50.0,0.1,1.699,1,24,24,0.9206
455,Methotrexate,HeLa,50.0,2.54,1.699,2,24,72,0.9206
456,Methotrexate,HeLa,50.0,2.99,1.699,3,24,72,0.9206
457,Methotrexate,HeLa,100.0,1.61,2.0,1,24,72,0.9206
458,Methotrexate,HeLa,100.0,0.19,2.0,2,24,24,0.9206
459,Methotrexate,HeLa,100.0,0,2.0,3,24,24,0.9206
460,Methotrexate,A549,0.001,100.48,-3.0,1,19,48,1.0444
461,Methotrexate,A549,0.001,102.17,-3.0,2,19,24,1.0444
462,Methotrexate,A549,0.001,100.63,-3.0,3,19,72,1.0444
463,Methotrexate,A549,0.01,93.55,-2.0,1,19,24,1.0444
464,Methotrexate,A549,0.01,99.44,-2.0,2,19,24,1.0444
465,Methotrexate,A549,0.01,96.57,-2.0,3,19,24,1.0444
466,Methotrexate,A549,0.1,87.12,-1.0,1,19,72,1.0444
467,Methotrexate,A549,0.1,89.41,-1.0,2,19,24,1.0444
468,Methotrexate,A549,0.1,91.37,-1.0,3,19,48,1.0444
469,Methotrexate,A549,0.5,72.11,-0.301,1,19,24,1.0444
470,Methotrexate,A549,0.5,65.23,-0.301,2,19,72,1.0444
471,Methotrexate,A549,0.5,73.55,-0.301,3,19,72,1.0444
472,Methotrexate,A549,1.0,48.39,0.0,1,19,48,1.0444
473,Methotrexate,A549,1.0,56.52,0.0,2,19,72,1.0444
474,Methotrexate,A549,1.0,48.69,0.0,3,19,48,1.0444
475,Methotrexate,A549,5.0,17.73,0.699,1,19,48,1.0444
476,Methotrexate,A549,5.0,17.68,0.699,2,19,48,1.0444
477,Methotrexate,A549,5.0,18.62,0.699,3,19,72,1.0444
478,Methotrexate,A549,10.0,6.98,1.0,1,19,48,1.0444
479,Methotrexate,A549,10.0,9.31,1.0,2,19,72,1.0444
480,Methotrexate,A549,10.0,6.03,1.0,3,19,48,1.0444
481,Methotrexate,A549,50.0,2.45,1.699,1,19,48,1.0444
482,Methotrexate,A549,50.0,0,1.699,2,19,72,1.0444
483,Methotrexate,A549,50.0,0,1.699,3,19,72,1.0444
484,Methotrexate,A549,100.0,0,2.0,1,19,24,1.0444
485,Methotrexate,A549,100.0,4.0,2.0,2,19,24,1.0444
486,Methotrexate,A549,100.0,0,2.0,3,19,72,1.0444
487,Methotrexate,HCT116,0.001,95.77,-3.0,1,12,24,0.9442
488,Methotrexate,HCT116,0.001,98.91,-3.0,2,12,24,0.9442
489,Methotrexate,HCT116,0.001,101.08,-3.0,3,12,48,0.9442
490,Methotrexate,HCT116,0.01,94.09,-2.0,1,12,72,0.9442
491,Methotrexate,HCT116,0.01,97.11,-2.0,2,12,48,0.9442
492,Methotrexate,HCT116,0.01,98.55,-2.0,3,12,72,0.9442
493,Methotrexate,HCT116,0.1,94.93,-1.0,1,12,24,0.9442
494,Methotrexate,HCT116,0.1,90.33,-1.0,2,12,72,0.9442
495,Methotrexate,HCT116,0.1,92.47,-1.0,3,12,48,0.9442
496,Methotrexate,HCT116,0.5,67.07,-0.301,1,12,72,0.9442
497,Methotrexate,HCT116,0.5,71.7,-0.301,2,12,72,0.9442
498,Methotrexate,HCT116,0.5,59.73,-0.301,3,12,48,0.9442
499,Methotrexate,HCT116,1.0,48.8,0.0,1,12,48,0.9442
500,Methotrexate,HCT116,1.0,49.65,0.0,2,12,48,0.9442
501,Methotrexate,HCT116,1.0,49.7,0.0,3,12,72,0.9442
502,Methotrexate,HCT116,5.0,15.66,0.699,1,12,24,0.9442
503,Methotrexate,HCT116,5.0,12.44,0.699,2,12,48,0.9442
504,Methotrexate,HCT116,5.0,14.61,0.699,3,12,72,0.9442
505,Methotrexate,HCT116,10.0,10.3,1.0,1,12,48,0.9442
506,Methotrexate,HCT116,10.0,6.88,1.0,2,12,24,0.9442
507,Methotrexate,HCT116,10.0,2.63,1.0,3,12,72,0.9442
508,Methotrexate,HCT116,50.0,0,1.699,1,12,72,0.9442
509,Methotrexate,HCT116,50.0,1.86,1.699,2,12,48,0.9442
510,Methotrexate,HCT116,50.0,2.87,1.699,3,12,72,0.9442
511,Methotrexate,HCT116,100.0,1.29,2.0,1,12,48,0.9442
512,Methotrexate,HCT116,100.0,0,2.0,2,12,72,0.9442
513,Methotrexate,HCT116,100.0,0,2.0,3,12,72,0.9442
514,Methotrexate,PC-3,0.001,96.65,-3.0,1,22,24,0.6807
515,Methotrexate,PC-3,0.001,90.88,-3.0,2,22,72,0.6807
516,Methotrexate,PC-3,0.001,100.02,-3.0,3,22,48,0.6807
517,Methotrexate,PC-3,0.01,97.23,-2.0,1,22,48,0.6807
518,Methotrexate,PC-3,0.01,93.86,-2.0,2,22,72,0.6807
519,Methotrexate,PC-3,0.01,98.38,-2.0,3,22,48,0.6807
520,Methotrexate,PC-3,0.1,85.32,-1.0,1,22,24,0.6807
521,Methotrexate,PC-3,0.1,85.64,-1.0,2,22,72,0.6807
522,Methotrexate,PC-3,0.1,89.99,-1.0,3,22,24,0.6807
523,Methotrexate,PC-3,0.5,60.59,-0.301,1,22,72,0.6807
524,Methotrexate,PC-3,0.5,56.86,-0.301,2,22,72,0.6807
525,Methotrexate,PC-3,0.5,54.06,-0.301,3,22,24,0.6807
526,Methotrexate,PC-3,1.0,43.32,0.0,1,22,24,0.6807
527,Methotrexate,PC-3,1.0,42.52,0.0,2,22,72,0.6807
528,Methotrexate,PC-3,1.0,42.77,0.0,3,22,48,0.6807
529,Methotrexate,PC-3,5.0,9.83,0.699,1,22,24,0.6807
530,Methotrexate,PC-3,5.0,7.57,0.699,2,22,72,0.6807
531,Methotrexate,PC-3,5.0,17.7,0.699,3,22,48,0.6807
532,Methotrexate,PC-3,10.0,5.79,1.0,1,22,24,0.6807
533,Methotrexate,PC-3,10.0,4.8,1.0,2,22,72,0.6807
534,Methotrexate,PC-3,10.0,6.87,1.0,3,22,72,0.6807
535,Methotrexate,PC-3,50.0,2.44,1.699,1,22,24,0.6807
536,Methotrexate,PC-3,50.0,0.54,1.699,2,22,24,0.6807
537,Methotrexate,PC-3,50.0,4.53,1.699,3,22,72,0.6807
538,Methotrexate,PC-3,100.0,5.71,2.0,1,22,72,0.6807
539,Methotrexate,PC-3,100.0,0,2.0,2,22,24,0.6807
540,Methotrexate,PC-3,100.0,1.08,2.0,3,22,24,0.6807
541,5-FU,MCF-7,0.001,93.21,-3.0,1,28,24,13.21
542,5-FU,MCF-7,0.001,98.4,-3.0,2,28,72,13.21
543,5-FU,MCF-7,0.001,97.85,-3.0,3,28,48,13.21
544,5-FU,MCF-7,0.01,99.79,-2.0,1,28,72,13.21
545,5-FU,MCF-7,0.01,95.14,-2.0,2,28,48,13.21
546,5-FU,MCF-7,0.01,98.36,-2.0,3,28,24,13.21
547,5-FU,MCF-7,0.1,100.42,-1.0,1,28,24,13.21
548,5-FU,MCF-7,0.1,101.16,-1.0,2,28,72,13.21
549,5-FU,MCF-7,0.1,96.72,-1.0,3,28,48,13.21
550,5-FU,MCF-7,0.5,96.66,-0.301,1,28,72,13.21
551,5-FU,MCF-7,0.5,92.73,-0.301,2,28,72,13.21
552,5-FU,MCF-7,0.5,89.5,-0.301,3,28,24,13.21
553,5-FU,MCF-7,1.0,91.98,0.0,1,28,48,13.21
554,5-FU,MCF-7,1.0,88.71,0.0,2,28,24,13.21
555,5-FU,MCF-7,1.0,89.79,0.0,3,28,48,13.21
556,5-FU,MCF-7,5.0,69.3,0.699,1,28,24,13.21
557,5-FU,MCF-7,5.0,67.78,0.699,2,28,48,13.21
558,5-FU,MCF-7,5.0,67.94,0.699,3,28,48,13.21
559,5-FU,MCF-7,10.0,50.87,1.0,1,28,72,13.21
560,5-FU,MCF-7,10.0,52.21,1.0,2,28,24,13.21
561,5-FU,MCF-7,10.0,60.03,1.0,3,28,48,13.21
562,5-FU,MCF-7,50.0,21.21,1.699,1,28,24,13.21
563,5-FU,MCF-7,50.0,20.04,1.699,2,28,72,13.21
564,5-FU,MCF-7,50.0,21.1,1.699,3,28,48,13.21
565,5-FU,MCF-7,100.0,16.79,2.0,1,28,72,13.21
566,5-FU,MCF-7,100.0,17.32,2.0,2,28,48,13.21
567,5-FU,MCF-7,100.0,18.51,2.0,3,28,24,13.21
568,5-FU,HeLa,0.001,101.17,-3.0,1,5,72,2.1545
569,5-FU,HeLa,0.001,99.94,-3.0,2,5,72,2.1545
570,5-FU,HeLa,0.001,103.27,-3.0,3,5,24,2.1545
571,5-FU,HeLa,0.01,105,-2.0,1,5,24,2.1545
572,5-FU,HeLa,0.01,97.34,-2.0,2,5,72,2.1545
573,5-FU,HeLa,0.01,100.53,-2.0,3,5,48,2.1545
574,5-FU,HeLa,0.1,92.71,-1.0,1,5,72,2.1545
575,5-FU,HeLa,0.1,91.95,-1.0,2,5,48,2.1545
576,5-FU,HeLa,0.1,95.41,-1.0,3,5,24,2.1545
577,5-FU,HeLa,0.5,79.74,-0.301,1,5,24,2.1545
578,5-FU,HeLa,0.5,82.77,-0.301,2,5,72,2.1545
579,5-FU,HeLa,0.5,83.72,-0.301,3,5,72,2.1545
580,5-FU,HeLa,1.0,61.44,0.0,1,5,24,2.1545
581,5-FU,HeLa,1.0,64.11,0.0,2,5,72,2.1545
582,5-FU,HeLa,1.0,60.54,0.0,3,5,24,2.1545
583,5-FU,HeLa,5.0,23.9,0.699,1,5,24,2.1545
584,5-FU,HeLa,5.0,36.66,0.699,2,5,72,2.1545
585,5-FU,HeLa,5.0,34.3,0.699,3,5,48,2.1545
586,5-FU,HeLa,10.0,16.06,1.0,1,5,72,2.1545
587,5-FU,HeLa,10.0,19.34,1.0,2,5,24,2.1545
588,5-FU,HeLa,10.0,21.53,1.0,3,5,24,2.1545
589,5-FU,HeLa,50.0,11.38,1.699,1,5,48,2.1545
590,5-FU,HeLa,50.0,1.96,1.699,2,5,72,2.1545
591,5-FU,HeLa,50.0,6.66,1.699,3,5,24,2.1545
592,5-FU,HeLa,100.0,3.86,2.0,1,5,72,2.1545
593,5-FU,HeLa,100.0,3.04,2.0,2,5,72,2.1545
594,5-FU,HeLa,100.0,3.51,2.0,3,5,24,2.1545
595,5-FU,A549,0.001,100.06,-3.0,1,20,72,5.6663
596,5-FU,A549,0.001,94.25,-3.0,2,20,48,5.6663
597,5-FU,A549,0.001,101.0,-3.0,3,20,48,5.6663
598,5-FU,A549,0.01,,-2.0,1,20,24,5.6663
599,5-FU,A549,0.01,105,-2.0,2,20,72,5.6663
600,5-FU,A549,0.01,98.11,-2.0,3,20,72,5.6663
601,5-FU,A549,0.1,97.05,-1.0,1,20,48,5.6663
602,5-FU,A549,0.1,94.45,-1.0,2,20,48,5.6663
603,5-FU,A549,0.1,96.9,-1.0,3,20,48,5.6663
604,5-FU,A549,0.5,94.52,-0.301,1,20,24,5.6663
605,5-FU,A549,0.5,88.33,-0.301,2,20,48,5.6663
606,5-FU,A549,0.5,88.18,-0.301,3,20,24,5.6663
607,5-FU,A549,1.0,83.49,0.0,1,20,24,5.6663
608,5-FU,A549,1.0,77.7,0.0,2,20,72,5.6663
609,5-FU,A549,1.0,83.95,0.0,3,20,72,5.6663
610,5-FU,A549,5.0,56.87,0.699,1,20,24,5.6663
611,5-FU,A549,5.0,53.49,0.699,2,20,72,5.6663
612,5-FU,A549,5.0,51.66,0.699,3,20,72,5.6663
613,5-FU,A549,10.0,39.39,1.0,1,20,24,5.6663
614,5-FU,A549,10.0,32.59,1.0,2,20,24,5.6663
615,5-FU,A549,10.0,38.07,1.0,3,20,48,5.6663
616,5-FU,A549,50.0,13.04,1.699,1,20,72,5.6663
617,5-FU,A549,50.0,7.77,1.699,2,20,24,5.6663
618,5-FU,A549,50.0,10.08,1.699,3,20,72,5.6663
619,5-FU,A549,100.0,6.61,2.0,1,20,24,5.6663
620,5-FU,A549,100.0,13.02,2.0,2,20,72,5.6663
621,5-FU,A549,100.0,9.68,2.0,3,20,24,5.6663
622,5-FU,HCT116,0.001,98.99,-3.0,1,19,72,12.5812
623,5-FU,HCT116,0.001,98.16,-3.0,2,19,48,12.5812
624,5-FU,HCT116,0.001,102.89,-3.0,3,19,72,12.5812
625,5-FU,HCT116,0.01,100.31,-2.0,1,19,24,12.5812
626,5-FU,HCT116,0.01,97.55,-2.0,2,19,24,12.5812
627,5-FU,HCT116,0.01,105,-2.0,3,19,72,12.5812
628,5-FU,HCT116,0.1,97.92,-1.0,1,19,24,12.5812
629,5-FU,HCT116,0.1,100.17,-1.0,2,19,72,12.5812
630,5-FU,HCT116,0.1,93.75,-1.0,3,19,72,12.5812
631,5-FU,HCT116,0.5,95.21,-0.301,1,19,48,12.5812
632,5-FU,HCT116,0.5,93.64,-0.301,2,19,72,12.5812
633,5-FU,HCT116,0.5,93.29,-0.301,3,19,48,12.5812
634,5-FU,HCT116,1.0,89.62,0.0,1,19,24,12.5812
635,5-FU,HCT116,1.0,89.38,0.0,2,19,48,12.5812
636,5-FU,HCT116,1.0,92.02,0.0,3,19,72,12.5812
637,5-FU,HCT116,5.0,73.14,0.699,1,19,48,12.5812
638,5-FU,HCT116,5.0,69.87,0.699,2,19,48,12.5812
639,5-FU,HCT116,5.0,72.46,0.699,3,19,48,12.5812
640,5-FU,HCT116,10.0,54.62,1.0,1,19,24,12.5812
641,5-FU,HCT116,10.0,57.75,1.0,2,19,72,12.5812
642,5-FU,HCT116,10.0,53.35,1.0,3,19,48,12.5812
643,5-FU,HCT116,50.0,28.08,1.699,1,19,24,12.5812
644,5-FU,HCT116,50.0,22.76,1.699,2,19,48,12.5812
645,5-FU,HCT116,50.0,20.23,1.699,3,19,72,12.5812
646,5-FU,HCT116,100.0,16.09,2.0,1,19,24,12.5812
647,5-FU,HCT116,100.0,14.69,2.0,2,19,24,12.5812
648,5-FU,HCT116,100.0,10.16,2.0,3,19,24,12.5812
649,5-FU,PC-3,0.001,100.27,-3.0,1,24,48,11.1026
650,5-FU,PC-3,0.001,100.77,-3.0,2,24,72,11.1026
651,5-FU,PC-3,0.001,99.19,-3.0,3,24,48,11.1026
652,5-FU,PC-3,0.01,101.18,-2.0,1,24,72,11.1026
653,5-FU,PC-3,0.01,103.24,-2.0,2,24,72,11.1026
654,5-FU,PC-3,0.01,99.27,-2.0,3,24,24,11.1026
655,5-FU,PC-3,0.1,100.98,-1.0,1,24,48,11.1026
656,5-FU,PC-3,0.1,99.87,-1.0,2,24,48,11.1026
657,5-FU,PC-3,0.1,99.03,-1.0,3,24,48,11.1026
658,5-FU,PC-3,0.5,92.61,-0.301,1,24,24,11.1026
659,5-FU,PC-3,0.5,95.7,-0.301,2,24,24,11.1026
660,5-FU,PC-3,0.5,86.97,-0.301,3,24,48,11.1026
661,5-FU,PC-3,1.0,86.39,0.0,1,24,72,11.1026
662,5-FU,PC-3,1.0,88.98,0.0,2,24,48,11.1026
663,5-FU,PC-3,1.0,87.91,0.0,3,24,48,11.1026
664,5-FU,PC-3,5.0,63.96,0.699,1,24,24,11.1026
665,5-FU,PC-3,5.0,64.59,0.699,2,24,24,11.1026
666,5-FU,PC-3,5.0,73.0,0.699,3,24,72,11.1026
667,5-FU,PC-3,10.0,54.23,1.0,1,24,72,11.1026
668,5-FU,PC-3,10.0,55.39,1.0,2,24,72,11.1026
669,5-FU,PC-3,10.0,55.77,1.0,3,24,48,11.1026
670,5-FU,PC-3,50.0,23.1,1.699,1,24,24,11.1026
671,5-FU,PC-3,50.0,23.72,1.699,2,24,48,11.1026
672,5-FU,PC-3,50.0,19.36,1.699,3,24,24,11.1026
673,5-FU,PC-3,100.0,14.08,2.0,1,24,72,11.1026
674,5-FU,PC-3,100.0,8.41,2.0,2,24,48,11.1026
675,5-FU,PC-3,100.0,17.33,2.0,3,24,72,11.1026
