alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280_od315,proline,cultivar
11.22,1.52,2.02,21.9,80.99,2.09,2.37,0.5,1.71,2.37,1.33,1.68,482,ClassB
13.56,2.59,2.52,15.74,90.48,3.17,2.44,0.29,2.36,5.82,1.08,2.39,1095,ClassA
11.57,1.35,2.43,27.04,88.2,2.32,1.48,0.31,1.65,4.04,0.99,3.29,617,ClassB
12.53,4.12,2.55,20.23,73.6,1.43,0.68,0.33,1.39,5.06,0.76,2.27,577,ClassC
11.37,4.3,2.44,20.04,90.83,2.19,2.51,0.38,1.8,3.05,1.02,2.31,656,ClassB
13.76,2.86,2.51,11.71,104.02,2.79,3.08,0.15,1.95,4.42,0.9,2.86,1148,ClassA
12.17,1.06,2.75,25.65,81.69,1.39,2.24,0.36,0.55,3.8,1.08,2.76,692,ClassB
13.54,1.59,2.61,16.44,118.57,3.05,3.27,0.36,1.46,4.9,1.08,2.85,1394,ClassA
13.28,3.6,2.31,21.59,102.56,1.41,0.93,0.41,0.81,10.77,0.54,1.44,540,ClassC
13.13,2.05,1.77,24.95,74.06,2.56,2.1,0.5,1.6,2.7,1.28,2.0,428,ClassB
12.92,2.96,2.58,24.47,92.84,1.56,1.02,0.53,1.35,8.32,0.66,1.81,710,ClassC
13.63,3.97,2.84,20.15,123.1,1.99,0.75,0.71,1.71,8.07,0.69,1.89,1116,ClassC
13.4,0.54,2.3,18.91,,2.34,3.21,0.24,2.33,6.45,1.09,3.95,1259,ClassA
11.96,0.43,2.21,20.22,64.83,2.77,1.79,0.42,2.11,2.32,0.99,2.52,713,ClassB
13.65,2.59,2.6,19.36,94.6,3.07,3.06,0.31,1.7,5.03,1.28,3.35,1366,ClassA
13.39,1.52,2.39,18.03,111.32,2.09,3.29,0.23,2.53,4.44,0.9,2.73,1105,ClassA
14.21,2.61,2.55,17.74,110.89,3.05,3.35,0.24,2.49,4.73,1.11,3.27,1270,ClassA
13.89,0.54,2.41,15.31,83.26,2.24,2.6,0.25,1.98,4.12,0.96,3.29,1217,ClassA
14.47,1.5,2.45,16.95,118.05,3.15,3.22,0.26,1.88,3.59,0.93,2.9,827,ClassA
12.75,3.74,2.59,20.93,106.4,1.43,0.5,0.43,1.14,8.01,0.54,1.17,933,ClassC
12.83,1.3,2.14,15.24,85.06,2.72,1.34,0.37,1.26,4.76,0.97,2.89,469,ClassB
13.23,4.33,2.29,18.69,94.35,2.29,0.51,0.4,1.97,10.19,0.52,1.95,554,ClassC
12.71,0.51,2.64,19.51,103.26,2.28,2.88,0.12,2.08,1.89,1.11,2.78,420,ClassB
12.94,2.65,2.25,25.23,100.36,2.21,1.15,0.55,0.86,6.7,0.61,1.5,945,ClassC
12.68,2.72,2.2,14.07,110.4,2.34,2.62,0.49,1.08,3.44,0.85,2.23,578,ClassB
13.92,2.59,2.72,14.27,109.59,2.36,2.58,0.25,1.78,5.34,1.21,2.64,1045,ClassA
13.23,2.45,2.46,16.22,103.73,2.75,3.37,0.32,1.98,4.42,1.0,2.95,1394,ClassA
11.34,1.66,2.19,16.07,111.04,2.4,0.92,0.11,2.28,2.46,1.31,2.98,365,ClassB
12.83,3.51,2.39,21.32,105.11,2.05,2.69,0.31,2.84,2.13,1.59,2.9,722,ClassB
12.82,3.0,2.62,19.97,94.48,3.15,3.09,0.41,2.06,3.77,0.92,3.2,1700,ClassA
13.6,2.28,2.37,21.76,115.36,3.05,2.82,0.26,2.47,5.24,1.2,3.49,1514,ClassA
13.1,2.51,2.65,21.3,95.8,1.2,0.59,0.57,1.37,8.78,0.7,1.19,543,ClassC
13.4,0.42,2.53,21.66,117.25,2.27,0.4,0.48,1.71,9.07,0.94,2.06,531,ClassC
13.22,3.84,2.4,20.05,127.04,1.78,1.05,0.42,1.32,5.87,0.66,1.53,721,ClassC
13.35,2.96,2.53,20.13,97.22,1.24,0.56,0.48,2.24,6.93,0.79,1.42,639,ClassC
13.5,2.5,2.53,16.79,102.0,3.3,2.91,0.44,1.85,6.36,0.94,3.33,1299,ClassA
13.9,3.9,2.57,23.38,121.72,1.84,0.83,0.4,1.93,9.25,0.69,1.76,459,ClassC
13.75,2.14,2.86,15.64,103.39,3.25,3.56,0.38,2.81,3.56,1.33,3.7,1394,ClassA
12.46,2.96,2.24,20.55,93.08,1.54,1.25,0.43,1.29,7.08,0.64,1.3,701,ClassC
12.14,2.85,2.27,23.49,78.13,2.21,1.88,0.39,1.81,3.91,0.91,3.14,297,ClassB
11.29,1.86,2.28,17.53,68.14,2.09,2.02,0.15,1.35,3.72,1.07,3.42,634,ClassB
12.56,2.13,2.64,21.07,105.14,2.49,3.3,0.19,2.14,4.19,1.04,2.51,1319,ClassA
13.37,3.7,2.61,18.67,97.64,2.09,0.73,0.36,0.72,7.2,0.72,1.87,566,ClassC
13.33,1.7,2.38,21.32,,1.15,1.06,0.23,1.44,8.0,0.68,2.09,661,ClassC
12.13,1.08,2.1,20.64,83.77,2.14,1.08,0.72,1.8,3.22,0.76,3.16,418,ClassB
13.4,3.31,2.56,16.8,88.15,3.23,2.54,0.18,2.14,8.12,0.94,3.61,823,ClassA
12.87,2.26,2.58,15.79,100.05,2.79,3.56,0.22,2.18,7.98,1.04,2.69,866,ClassA
12.82,3.59,2.17,19.7,84.54,1.8,0.48,0.41,1.03,8.58,0.51,2.58,675,ClassC
14.08,1.73,1.95,17.26,115.21,2.66,2.53,0.3,1.38,6.86,0.98,2.89,1098,ClassA
13.99,2.43,2.77,18.09,116.62,2.43,2.93,0.26,,4.46,1.08,3.16,1135,ClassA
13.24,2.65,2.5,15.02,84.08,3.03,2.9,0.26,1.55,4.6,0.92,3.35,1371,ClassA
12.31,2.29,2.31,15.8,76.95,2.63,2.49,0.39,2.32,2.97,1.3,2.0,447,ClassB
13.09,3.59,2.62,13.05,108.12,2.38,2.66,0.45,2.32,4.0,1.04,2.98,928,ClassA
12.51,2.26,2.84,25.24,121.83,2.55,2.76,0.49,1.83,2.47,0.93,2.74,420,ClassB
14.43,1.83,2.47,12.7,115.63,3.43,3.41,0.27,2.01,2.21,1.19,2.95,753,ClassA
14.28,2.48,2.82,14.18,113.46,2.96,2.55,0.35,2.05,6.77,1.07,3.77,1064,ClassA
12.38,1.83,2.12,24.7,74.11,2.05,2.01,0.41,1.48,2.14,1.14,3.27,670,ClassB
13.08,4.12,2.48,19.57,78.0,1.46,0.88,0.39,1.35,8.04,0.68,1.39,674,ClassC
12.79,2.91,2.2,18.32,120.93,2.96,3.6,0.33,1.47,4.79,0.96,3.0,1017,ClassA
12.97,1.49,2.44,13.05,123.42,2.93,3.64,0.29,1.72,5.25,0.93,3.15,1186,ClassA
13.94,1.55,2.62,16.07,112.05,3.02,2.66,0.34,1.64,5.7,1.11,3.42,1105,ClassA
11.77,2.48,2.01,19.31,85.5,2.2,2.68,0.34,1.22,4.67,0.97,2.87,652,ClassB
13.65,2.48,2.11,17.55,97.84,2.58,3.35,0.34,2.35,5.57,1.2,3.48,1243,ClassA
12.33,1.56,2.57,16.58,98.1,2.38,2.06,0.37,1.45,2.92,0.86,2.38,719,ClassB
12.77,1.94,2.18,19.25,74.19,2.21,1.93,0.03,2.3,3.11,0.93,2.75,362,ClassB
12.22,2.24,2.07,22.57,68.8,2.48,1.4,0.43,1.95,4.51,1.18,3.17,521,ClassB
12.94,1.33,2.54,27.12,119.5,2.05,2.0,0.24,1.13,3.08,1.21,2.89,626,ClassB
12.24,1.14,1.76,22.12,106.6,1.93,1.73,0.37,1.42,0.97,1.3,2.2,394,ClassB
12.87,4.69,2.36,20.98,114.16,2.01,1.19,0.49,1.18,4.75,0.69,2.14,476,ClassC
12.67,2.61,1.99,20.6,104.12,2.72,0.67,0.34,1.55,3.39,1.39,3.08,512,ClassB
12.41,,2.73,20.43,93.44,2.01,0.56,0.67,1.03,10.17,0.9,2.03,501,ClassC
14.4,1.89,2.38,15.61,114.5,3.01,2.95,0.3,2.23,7.69,1.03,3.26,887,ClassA
14.0,2.82,2.58,14.38,,3.11,2.73,0.28,2.09,6.53,1.13,3.39,932,ClassA
12.06,2.07,1.97,17.61,101.08,2.24,1.27,0.23,1.59,3.12,0.98,2.12,357,ClassB
12.43,1.0,2.2,17.33,102.38,2.09,1.95,0.17,1.59,5.46,1.28,2.4,649,ClassB
13.28,4.4,2.75,20.8,120.85,1.48,0.64,0.54,1.22,5.66,0.75,1.44,340,ClassC
12.78,5.04,1.96,23.8,95.92,1.59,0.82,0.37,1.39,6.02,0.77,2.24,620,ClassC
11.86,2.86,2.3,24.63,113.12,1.79,1.06,0.44,0.9,4.95,0.65,2.38,636,ClassC
12.79,4.95,2.86,20.24,104.88,2.24,1.07,0.41,1.09,4.67,0.7,1.45,930,ClassC
13.47,2.76,2.62,18.51,122.87,2.62,2.37,0.21,2.18,7.18,1.17,3.08,1399,ClassA
12.27,3.03,2.45,21.73,93.62,2.68,1.99,0.39,1.81,1.58,1.31,2.47,427,ClassB
11.38,2.65,2.34,20.08,91.91,2.3,1.59,0.1,2.35,2.86,1.02,3.02,725,ClassB
12.14,2.42,2.12,21.12,90.67,2.08,1.56,0.3,1.59,3.76,1.08,3.89,383,ClassB
12.87,1.5,2.05,22.29,114.48,2.1,1.29,0.6,1.28,11.63,0.64,1.92,505,ClassC
12.45,1.8,1.83,28.19,86.96,2.69,2.85,0.51,1.85,2.53,1.04,2.86,719,ClassB
13.26,2.07,2.71,21.8,114.53,2.79,3.46,0.13,1.7,4.9,1.15,3.32,1554,ClassA
13.72,3.31,2.37,14.27,106.18,2.73,2.66,0.4,1.99,7.87,0.98,2.75,795,ClassA
13.58,2.11,2.39,21.67,102.16,2.47,3.24,0.21,2.53,6.81,1.03,3.2,999,ClassA
14.32,1.28,2.27,15.17,113.28,2.84,2.67,0.19,1.16,5.69,1.19,3.35,1258,ClassA
13.26,4.09,2.53,21.5,102.56,1.94,1.09,0.41,1.15,5.68,0.63,1.77,639,ClassC
14.89,2.15,2.61,20.04,105.64,2.57,4.15,0.33,2.3,4.77,1.07,3.58,1014,ClassA
14.31,1.77,2.72,18.84,121.82,3.19,2.85,0.25,1.99,5.87,1.21,4.05,1163,ClassA
12.42,4.93,2.71,21.83,99.65,1.72,1.21,0.43,1.26,8.27,0.8,1.73,162,ClassC
11.89,1.99,2.28,27.62,90.83,2.24,2.88,0.08,1.87,2.58,0.95,1.66,352,ClassB
12.77,2.0,3.13,24.61,91.06,1.89,1.26,0.36,,2.03,1.22,2.73,630,ClassB
13.24,3.29,2.28,22.15,110.33,1.48,1.01,0.52,0.65,6.24,0.49,1.58,397,ClassC
13.75,2.07,2.82,19.27,97.89,2.75,2.67,0.37,2.15,5.48,0.95,3.25,1318,ClassA
12.8,2.56,2.07,22.07,102.43,2.98,1.28,0.24,1.86,3.51,1.06,2.9,438,ClassB
13.14,2.4,2.17,14.91,97.78,2.6,3.01,0.25,1.86,4.27,0.94,3.03,954,ClassA
12.47,1.1,2.46,17.5,98.24,2.8,0.75,0.61,1.16,1.93,0.82,2.56,380,ClassB
13.29,3.69,2.19,20.92,84.84,2.29,2.03,0.4,2.61,2.62,1.35,2.48,345,ClassB
12.71,2.94,2.47,20.72,101.8,1.77,1.01,0.46,0.77,5.83,0.77,1.22,588,ClassC
13.69,2.92,2.62,21.71,90.17,1.73,0.65,0.45,1.49,12.29,0.74,1.09,621,ClassC
13.04,6.29,2.8,19.29,109.24,1.48,0.7,0.58,1.15,4.03,0.87,1.43,651,ClassC
11.87,1.17,1.82,23.79,106.63,1.97,2.4,0.36,1.27,2.69,1.01,3.32,511,ClassB
12.09,2.58,2.56,17.81,100.92,2.9,2.2,0.26,0.87,2.9,0.81,1.48,535,ClassB
11.82,1.68,1.75,15.84,87.68,2.59,1.74,0.46,1.79,3.37,1.05,2.85,548,ClassB
12.9,2.25,2.75,21.1,72.79,1.7,2.66,0.41,2.19,3.72,1.14,2.13,513,ClassB
12.44,2.66,2.14,25.86,112.85,2.44,2.86,0.25,2.01,2.91,1.0,3.21,517,ClassB
13.46,3.07,2.05,17.83,115.76,2.57,2.82,0.37,1.52,6.67,1.01,3.35,1227,ClassA
13.26,2.28,2.61,25.93,104.43,1.4,0.72,0.59,0.68,6.94,0.55,1.55,514,ClassC
12.91,5.09,2.41,18.55,96.23,1.38,0.79,0.67,0.64,4.67,0.75,1.53,423,ClassC
14.02,,2.41,20.25,86.95,1.68,0.66,0.45,,5.46,0.63,1.67,656,ClassC
14.12,3.43,2.39,18.28,100.21,1.56,1.02,0.46,1.85,8.55,0.63,1.31,798,ClassC
12.7,4.68,2.62,19.9,108.72,1.7,1.18,0.33,,10.36,0.51,1.49,742,ClassC
12.19,2.1,1.87,21.07,97.28,2.1,1.55,0.27,2.03,4.0,0.81,2.1,506,ClassB
12.33,0.77,1.72,16.4,123.02,2.5,2.37,0.3,0.8,3.38,1.15,2.38,589,ClassB
11.92,1.57,2.67,21.14,81.53,1.72,2.43,0.26,0.73,2.34,1.31,2.49,661,ClassB
12.94,5.33,2.35,22.39,92.99,1.84,1.04,0.35,1.0,7.8,0.77,1.91,823,ClassC
12.23,1.3,2.57,17.52,102.72,2.51,0.77,0.57,0.91,3.07,1.29,3.18,602,ClassB
11.58,2.3,1.77,19.77,109.43,2.53,2.65,0.48,1.36,3.19,0.82,2.83,393,ClassB
13.5,1.52,2.5,22.42,94.61,1.59,1.03,0.48,1.39,6.55,0.75,1.38,710,ClassC
13.58,2.75,2.18,25.24,81.57,1.77,0.3,0.48,0.93,6.15,0.76,2.2,486,ClassC
14.21,2.04,2.15,19.04,98.64,2.76,2.55,0.31,2.09,4.31,0.94,2.84,1262,ClassA
12.21,2.34,2.32,17.67,72.03,2.74,2.77,0.37,2.01,3.34,0.62,3.34,708,ClassB
13.81,1.52,2.17,17.55,106.71,3.17,2.2,0.23,1.79,6.91,1.02,3.02,1523,ClassA
12.43,3.63,2.5,22.91,89.63,2.48,0.85,0.38,0.86,6.09,0.71,1.81,702,ClassC
13.58,1.86,2.24,16.75,93.67,2.99,2.68,0.27,1.49,6.53,1.07,3.27,909,ClassA
13.08,2.29,2.62,21.23,101.18,1.83,0.8,0.37,1.4,4.89,0.69,1.87,424,ClassC
13.35,4.49,2.33,23.42,92.99,2.29,0.47,0.38,0.92,7.07,0.38,2.01,769,ClassC
11.87,1.91,2.41,15.32,63.42,1.65,2.9,0.15,2.19,3.12,1.27,3.86,754,ClassB
13.77,5.36,2.25,19.4,81.28,2.05,0.68,0.5,0.54,10.57,0.87,1.68,290,ClassC
13.18,4.89,2.26,22.74,121.14,1.72,0.43,0.32,1.08,7.21,0.61,1.46,667,ClassC
13.36,0.81,2.34,16.77,79.8,3.04,2.89,0.41,1.38,4.36,1.19,2.84,1166,ClassA
13.95,3.29,2.63,15.91,114.19,2.69,3.17,0.45,1.84,4.34,1.03,2.32,1143,ClassA
13.35,2.64,2.21,15.99,100.66,2.85,2.84,0.25,2.36,5.31,1.04,3.43,1130,ClassA
13.83,4.52,2.5,22.58,93.61,1.48,1.25,0.26,1.64,9.03,0.73,1.65,640,ClassC
12.76,2.52,2.41,21.86,106.87,0.93,0.19,0.45,0.35,6.89,0.7,1.41,935,ClassC
14.16,2.43,2.64,15.8,102.49,2.74,2.72,0.35,0.89,6.03,1.04,2.61,1129,ClassA
13.65,1.51,2.2,17.93,109.19,2.81,2.56,0.2,1.2,4.94,1.16,3.13,962,ClassA
13.07,2.42,2.46,23.05,95.19,1.18,0.71,0.35,,7.97,0.64,2.23,842,ClassC
12.48,1.1,2.58,18.41,91.94,3.4,3.35,0.16,1.99,5.13,0.96,3.3,1704,ClassA
14.51,2.7,2.41,16.32,112.1,2.98,2.7,0.35,1.55,7.11,1.4,3.65,886,ClassA
12.16,2.04,1.97,16.34,66.87,2.57,2.8,0.31,1.99,4.45,1.25,1.7,490,ClassB
11.62,2.58,2.05,21.55,107.19,1.91,2.28,0.31,0.6,4.02,1.07,3.35,747,ClassB
13.88,3.37,2.62,23.75,97.83,1.57,0.58,0.67,1.4,4.75,0.86,1.45,734,ClassC
13.37,3.49,2.48,25.71,91.06,1.63,0.66,0.4,1.54,9.28,0.53,1.71,588,ClassC
12.33,1.95,1.91,19.31,106.51,2.6,1.12,0.27,2.73,5.49,1.25,2.35,631,ClassB
12.05,3.89,2.69,22.34,91.65,1.88,0.76,0.78,0.59,5.27,0.65,2.12,565,ClassC
12.51,1.83,2.23,26.88,101.3,2.04,1.7,0.51,2.0,2.58,0.89,2.9,803,ClassB
12.74,2.08,2.49,26.5,101.0,2.02,1.37,0.55,0.73,8.75,0.74,1.41,663,ClassC
14.28,1.75,2.53,10.8,132.84,2.88,3.05,0.23,2.12,7.56,1.18,3.37,710,ClassA
12.75,1.18,2.12,13.86,96.47,1.66,1.93,0.43,1.14,2.79,1.53,2.31,444,ClassB
13.11,4.48,2.51,22.64,86.41,1.68,0.92,0.29,1.31,4.98,0.66,1.8,453,ClassC
13.67,1.65,2.48,19.2,121.83,3.07,3.49,0.25,2.59,6.2,1.23,2.77,1157,ClassA
14.66,2.3,2.42,15.91,83.16,2.74,2.63,0.24,1.94,5.78,1.07,3.81,1423,ClassA
14.38,3.17,1.85,19.72,83.54,3.34,2.91,0.27,1.81,4.83,1.24,3.19,1312,ClassA
12.02,-0.24,2.52,20.98,84.01,2.14,2.05,0.5,2.39,2.5,1.08,2.16,539,ClassB
13.33,1.09,2.47,17.57,112.91,3.37,2.75,0.3,1.6,6.53,1.2,3.12,1095,ClassA
12.72,2.52,2.41,23.82,106.3,1.85,1.28,0.55,1.31,5.91,0.63,2.58,667,ClassC
13.62,1.34,2.65,15.42,104.36,2.78,2.96,0.21,2.09,7.19,1.12,3.33,951,ClassA
14.58,2.34,2.45,17.46,107.87,3.06,2.85,0.28,2.39,4.31,1.32,2.96,1477,ClassA
13.53,2.61,2.45,19.28,97.71,3.16,3.69,0.32,2.0,3.9,1.07,2.69,631,ClassA
13.2,2.11,2.19,15.05,59.89,2.24,1.2,0.46,1.8,4.6,1.06,3.23,525,ClassB
12.82,2.43,2.42,23.62,77.22,1.97,1.94,0.47,1.79,5.47,1.32,3.28,387,ClassB
13.63,2.04,2.24,15.66,98.74,2.5,3.94,0.17,1.56,6.61,0.99,3.0,1275,ClassA
12.1,2.97,2.53,18.69,116.77,1.67,1.4,0.39,1.59,4.96,1.06,2.75,400,ClassB
12.76,3.04,2.6,24.1,108.2,1.53,0.27,0.25,1.09,7.88,0.56,1.91,617,ClassC
13.47,3.21,2.18,18.48,104.22,2.77,3.02,0.3,0.7,5.16,1.12,2.75,987,ClassA
14.08,2.3,2.19,22.06,95.18,2.7,2.82,0.38,2.01,7.05,1.15,3.36,938,ClassA
11.86,0.91,2.54,20.48,106.99,1.87,2.33,0.35,2.14,4.16,0.66,2.64,524,ClassB
14.41,1.06,2.09,13.03,97.94,2.78,3.43,0.31,2.03,3.98,1.18,2.96,1439,ClassA
12.58,0.95,2.96,16.61,91.74,1.64,0.62,0.71,1.46,7.16,0.68,1.83,1072,ClassC
13.33,2.53,2.75,19.95,80.18,1.35,1.12,0.54,1.28,8.34,0.59,1.5,465,ClassC
13.63,0.87,2.8,18.92,92.84,2.69,2.92,0.22,2.25,4.35,1.08,2.78,925,ClassA
13.37,1.8,2.53,18.53,100.21,3.06,3.33,0.28,2.7,6.74,1.22,3.09,1051,ClassA
13.73,1.84,2.36,14.85,92.93,2.25,2.88,0.18,1.8,4.29,0.97,3.67,1489,ClassA
12.46,2.15,2.13,23.04,93.93,1.64,2.25,0.33,2.44,2.16,1.08,2.69,403,ClassB
13.74,1.49,2.56,14.17,93.6,3.13,2.62,0.38,1.23,7.91,0.94,2.97,781,ClassA
13.93,3.8,2.56,22.13,125.24,1.17,1.04,0.48,0.83,8.85,0.76,1.65,662,ClassC
12.88,2.14,2.15,20.45,93.56,1.77,1.22,0.5,0.75,10.7,0.81,1.51,532,ClassC
12.61,,2.47,24.44,120.13,2.53,3.06,0.39,2.35,3.43,1.02,2.91,378,ClassB
14.17,2.49,2.63,19.99,111.34,2.95,3.0,0.39,1.82,5.49,1.0,3.31,1361,ClassA
11.97,2.3,2.46,23.9,114.62,1.9,2.83,0.21,0.76,1.7,1.06,2.73,342,ClassB
12.54,2.99,2.2,14.28,126.44,2.56,1.93,0.28,1.69,2.39,1.0,2.83,527,ClassB
11.96,1.18,2.26,20.27,126.37,1.77,2.26,0.28,1.35,2.1,1.05,2.15,194,ClassB
13.82,2.49,2.47,14.41,128.64,2.78,2.78,0.28,1.49,4.45,0.88,2.86,639,ClassA
12.52,2.55,2.42,21.47,111.8,1.84,0.6,0.35,1.32,12.39,0.64,1.92,331,ClassC
12.28,1.93,2.3,25.0,91.24,2.59,1.61,0.54,1.53,3.3,0.89,3.0,639,ClassB
11.41,,2.05,12.57,95.13,2.31,1.99,0.6,1.11,5.43,0.96,3.3,502,ClassB
13.93,1.86,2.24,16.9,97.66,2.8,2.98,0.32,1.23,4.54,1.18,3.4,1297,ClassA
12.41,,2.11,22.64,97.3,1.67,3.06,0.42,2.03,3.78,1.11,2.18,602,ClassB
13.81,1.88,2.36,22.78,95.59,1.47,1.02,0.32,1.76,5.15,0.76,1.95,352,ClassC
13.06,5.07,2.85,19.36,90.63,1.88,0.99,0.33,0.75,7.12,0.69,1.73,610,ClassC
12.33,2.54,2.04,22.6,93.25,2.34,2.96,0.37,2.03,6.1,1.18,3.25,480,ClassB
13.09,4.41,2.29,24.64,118.33,1.43,0.59,0.42,0.67,7.25,0.54,1.98,635,ClassC
13.38,5.0,2.58,19.85,109.8,1.29,0.98,0.17,1.65,8.64,0.48,1.74,455,ClassC
14.07,1.5,2.39,19.61,104.69,2.8,2.63,0.25,1.27,5.33,1.08,3.03,1251,ClassA
13.18,2.0,1.98,19.3,98.44,2.67,3.07,0.32,1.64,5.9,1.1,3.5,1004,ClassA
13.98,1.94,2.4,13.61,101.25,2.84,3.68,0.34,2.19,7.11,1.17,3.57,1648,ClassA
12.8,1.39,2.18,17.86,110.72,2.05,1.86,0.27,0.9,4.58,1.24,3.14,477,ClassB
15.1,1.85,2.44,14.96,100.62,2.45,2.78,0.28,,5.95,0.9,3.43,958,ClassA
12.01,-0.22,2.4,22.2,122.94,2.14,2.81,0.63,1.43,2.81,1.02,2.94,415,ClassB
13.36,4.52,2.71,20.34,80.96,1.48,0.94,0.52,0.79,8.38,0.68,1.72,688,ClassC
12.17,1.75,1.8,15.63,67.17,2.29,2.02,0.18,1.59,2.14,1.1,2.9,587,ClassB
12.78,4.63,2.67,24.6,,2.05,0.9,0.63,1.21,7.35,0.51,1.18,665,ClassC
12.56,2.33,1.8,22.57,91.59,1.91,2.77,0.24,1.76,4.27,1.44,3.39,423,ClassB
13.68,0.8,2.53,19.66,116.21,2.15,3.45,0.34,2.33,4.43,1.08,2.86,1063,ClassA
11.48,1.64,2.26,15.42,102.25,2.35,2.89,0.47,1.84,4.32,0.85,2.35,525,ClassB
13.0,1.39,2.24,18.52,,3.08,2.2,0.23,1.27,3.59,1.46,2.57,800,ClassB
12.87,1.93,2.27,18.06,112.07,2.73,3.15,0.38,1.61,4.56,0.94,3.02,874,ClassA
12.32,2.38,2.76,17.23,95.43,2.3,2.67,0.38,1.52,4.0,1.34,4.28,696,ClassB
13.29,3.84,2.39,20.2,92.33,1.96,0.55,0.52,1.97,3.29,0.7,1.89,704,ClassC
13.43,4.36,2.52,18.98,113.43,1.66,1.13,0.27,1.32,7.98,0.35,2.03,365,ClassC
13.39,4.17,2.11,19.42,89.21,1.33,0.72,0.46,1.14,6.72,0.77,1.25,672,ClassC
12.03,1.81,2.13,17.02,98.12,1.89,2.24,0.35,1.82,2.05,1.23,3.19,616,ClassB
12.53,2.22,1.88,21.79,104.27,2.21,2.28,0.36,1.7,3.07,0.81,3.97,444,ClassB
13.43,0.37,2.25,10.97,113.48,2.53,3.01,0.31,1.64,6.26,0.8,2.59,956,ClassA
12.24,0.78,2.03,16.4,108.01,2.61,1.68,0.49,0.93,2.97,1.51,3.41,377,ClassB
13.58,3.2,2.89,14.73,112.41,2.94,2.36,0.33,1.96,3.21,1.17,3.48,1417,ClassA
12.91,2.04,2.67,24.12,99.14,2.22,0.57,0.47,1.2,3.22,0.54,1.46,811,ClassC
13.77,4.1,2.27,21.25,120.49,1.92,0.35,0.41,1.48,8.96,0.78,1.49,603,ClassC
13.4,2.91,2.35,21.14,86.63,1.08,1.26,0.32,1.24,10.54,0.73,2.02,892,ClassC
13.6,3.98,2.47,20.34,101.56,2.17,0.78,0.41,1.24,8.48,0.67,1.47,486,ClassC
13.05,3.83,2.14,21.56,89.0,0.78,1.34,0.3,0.99,3.77,0.89,1.6,678,ClassC
12.79,3.05,2.3,22.0,85.46,1.75,0.92,0.62,0.96,7.38,0.79,1.6,720,ClassC
13.74,0.27,2.5,20.85,114.24,2.87,2.0,0.37,1.99,3.98,1.0,2.88,1131,ClassA
13.5,5.17,2.55,22.76,104.25,1.64,0.93,0.21,1.19,9.5,0.59,1.78,742,ClassC
12.98,1.39,2.52,19.68,84.65,1.48,1.04,0.54,1.49,3.73,0.81,2.44,666,ClassC
11.54,1.34,2.62,17.35,84.48,2.71,2.57,0.37,2.59,4.9,0.92,2.35,457,ClassB
13.63,1.73,2.12,14.66,110.7,2.58,3.1,0.29,2.24,6.92,1.14,3.39,951,ClassA
12.38,2.43,2.69,20.73,115.22,1.64,0.36,0.38,1.42,6.43,0.61,1.95,502,ClassC
12.43,2.19,2.44,17.16,96.23,2.63,2.32,0.03,1.91,2.67,0.98,1.93,483,ClassB
13.41,3.58,2.19,21.02,124.74,1.46,1.13,0.41,1.3,7.34,0.62,2.18,491,ClassC
13.72,5.56,2.13,20.77,95.54,1.72,0.69,0.6,0.58,2.94,0.74,1.63,685,ClassC
13.53,2.0,2.61,21.13,138.14,2.81,3.18,0.19,0.99,5.3,1.14,2.88,1000,ClassA
14.25,5.82,2.31,21.22,104.93,2.02,0.74,0.38,2.06,6.05,0.6,2.27,449,ClassC
13.22,1.02,2.51,23.16,98.61,1.36,0.54,0.49,1.02,8.46,0.8,1.56,700,ClassC
11.94,0.98,2.21,23.51,98.11,2.5,1.99,0.43,1.59,2.12,1.17,3.63,545,ClassB
12.03,1.62,2.53,17.11,96.2,2.15,2.27,0.34,1.49,2.97,0.9,2.27,443,ClassB
12.83,3.19,2.79,18.12,87.85,1.91,0.64,0.42,1.24,8.76,0.59,1.71,543,ClassC
14.06,1.27,2.26,16.12,111.7,2.65,2.71,0.22,2.34,5.19,1.17,3.15,1430,ClassA
12.55,2.08,2.13,15.15,93.23,2.2,2.49,0.4,1.55,2.21,1.26,2.3,469,ClassB
12.51,2.16,2.2,20.55,83.89,1.9,1.6,0.36,1.99,2.89,1.15,3.81,565,ClassB
13.86,3.38,2.45,22.33,106.77,1.66,0.43,0.23,0.67,6.77,0.71,1.81,651,ClassC
12.62,1.52,2.2,18.85,86.83,2.51,1.68,0.31,3.39,2.91,1.26,2.71,656,ClassB
12.19,2.77,2.23,21.26,77.57,1.93,2.0,0.36,0.56,3.86,1.12,2.49,506,ClassB
12.39,1.07,1.97,19.49,89.11,2.18,2.35,0.13,2.41,3.81,1.47,2.55,497,ClassB
12.83,2.41,2.5,22.5,108.99,2.82,2.14,0.44,1.66,4.76,1.07,3.38,193,ClassB
