experiment_id,temperature_C,concentration_mM,catalyst,ph_level,replicate,yield_percent,reaction_time_min,purity_percent,byproduct_mg
407,80,2.0,Nickel,6.3,2,51.6,58.9,89.6,11.59
408,80,2.0,Nickel,7.0,3,43.9,67.5,93.0,8.63
409,80,5.0,None,6.6,1,47.2,102.0,83.9,11.48
410,80,5.0,None,6.2,2,42.7,96.9,82.5,10.3
411,80,5.0,None,6.9,3,46.8,94.3,90.2,12.54
412,80,5.0,Platinum,5.8,1,62.6,73.7,88.3,10.16
413,80,5.0,Platinum,7.5,2,62.9,76.1,100,5.54
414,80,5.0,Platinum,6.4,3,65.7,69.2,89.7,2.67
415,80,5.0,Palladium,7.4,1,54.5,99.7,92.7,10.86
416,80,5.0,Palladium,7.7,2,57.3,78.3,,6.99
417,80,5.0,Palladium,8.0,3,59.8,83.4,92.3,9.65
418,80,5.0,Nickel,6.8,1,45.7,77.8,88.3,10.28
419,80,5.0,Nickel,7.7,2,53.2,72.2,77.8,6.59
420,80,5.0,Nickel,7.5,3,50.8,84.6,89.7,11.17
421,90,0.1,None,7.4,1,27.6,23.8,88.8,4.59
422,90,0.1,None,7.0,2,16.0,33.6,87.7,8.35
423,90,0.1,None,7.5,3,19.1,37.4,84.2,13.09
424,90,0.1,Platinum,7.6,1,43.6,48.3,91.6,2.15
425,90,0.1,Platinum,6.8,2,47.2,32.4,89.0,4.51
426,90,0.1,Platinum,7.0,3,45.8,51.2,84.7,5.85
427,90,0.1,Palladium,7.8,1,32.0,48.0,92.3,6.75
428,90,0.1,Palladium,7.4,2,38.5,21.0,90.5,3.71
429,90,0.1,Palladium,7.2,3,29.9,35.7,87.4,5.81
430,90,0.1,Nickel,7.9,1,21.8,50.0,88.3,4.23
431,90,0.1,Nickel,6.9,2,36.7,26.1,88.2,8.21
432,90,0.1,Nickel,6.8,3,29.5,33.8,87.2,8.25
433,90,0.5,None,7.1,1,26.8,37.4,87.7,7.91
434,90,0.5,None,7.7,2,31.7,41.7,79.7,19.51
435,90,0.5,None,7.5,3,33.5,51.2,87.6,15.12
436,90,0.5,Platinum,7.3,1,51.3,46.2,93.5,4.13
437,90,0.5,Platinum,7.6,2,54.4,31.2,97.5,0
438,90,0.5,Platinum,7.8,3,54.5,41.0,95.4,0
439,90,0.5,Palladium,6.7,1,41.3,55.6,98.1,3.79
440,90,0.5,Palladium,7.0,2,42.1,34.1,86.2,4.73
441,90,0.5,Palladium,7.1,3,42.2,25.1,94.9,2.67
442,90,0.5,Nickel,7.4,1,31.0,25.0,84.2,6.11
443,90,0.5,Nickel,6.5,2,42.4,35.8,88.0,9.71
444,90,0.5,Nickel,6.9,3,35.1,47.4,90.0,12.23
445,90,1.0,None,6.9,1,31.3,47.3,89.5,9.06
446,90,1.0,None,6.5,2,33.2,37.5,88.9,11.12
447,90,1.0,None,7.6,3,31.1,41.7,88.5,17.53
448,90,1.0,Platinum,6.4,1,61.6,45.7,94.3,4.66
449,90,1.0,Platinum,6.7,2,55.3,32.1,93.2,3.91
450,90,1.0,Platinum,7.7,3,59.3,38.9,90.0,7.26
451,90,1.0,Palladium,6.3,1,48.8,46.3,89.1,7.43
452,90,1.0,Palladium,6.5,2,48.9,53.4,96.5,0.68
453,90,1.0,Palladium,6.1,3,57.4,49.8,87.2,4.97
454,90,1.0,Nickel,7.6,1,48.7,36.0,89.4,9.58
455,90,1.0,Nickel,7.4,2,35.0,53.1,83.3,9.07
456,90,1.0,Nickel,6.1,3,45.0,53.2,88.7,6.1
457,90,2.0,None,7.8,1,38.1,68.1,86.4,9.12
458,90,2.0,None,6.5,2,37.2,71.6,84.2,7.1
459,90,2.0,None,6.2,3,42.2,63.4,83.8,12.31
460,90,2.0,Platinum,6.6,1,60.6,51.0,89.6,7.15
461,90,2.0,Platinum,6.9,2,64.4,59.7,89.8,10.31
462,90,2.0,Platinum,7.4,3,74.7,64.5,89.8,5.24
463,90,2.0,Palladium,6.9,1,60.8,58.2,88.3,6.1
464,90,2.0,Palladium,6.6,2,60.1,31.2,82.0,6.3
465,90,2.0,Palladium,7.1,3,43.8,60.5,97.2,7.56
466,90,2.0,Nickel,7.5,1,46.6,56.6,88.7,13.53
467,90,2.0,Nickel,6.8,2,58.3,47.0,88.7,13.03
468,90,2.0,Nickel,6.9,3,40.4,53.7,89.1,5.61
469,90,5.0,None,6.8,1,50.7,75.9,82.9,12.22
470,90,5.0,None,7.9,2,39.0,95.4,87.9,11.81
471,90,5.0,None,7.2,3,40.6,73.9,79.4,13.45
472,90,5.0,Platinum,7.1,1,65.7,69.3,89.5,7.38
473,90,5.0,Platinum,5.8,2,74.4,75.9,94.4,15.78
474,90,5.0,Platinum,7.6,3,63.8,94.4,86.3,8.35
475,90,5.0,Palladium,8.0,1,64.7,70.3,86.8,11.74
476,90,5.0,Palladium,6.9,2,70.8,83.5,93.1,7.7
477,90,5.0,Palladium,7.3,3,62.8,79.5,89.1,11.81
478,90,5.0,Nickel,6.5,1,54.9,86.2,92.6,11.37
479,90,5.0,Nickel,6.7,2,59.3,87.5,84.2,4.4
480,90,5.0,Nickel,6.6,3,54.5,90.3,90.0,11.82
481,20,0.1,None,7.1,4,7.3,55.6,87.3,15.67
482,20,0.1,Platinum,7.7,4,37.6,48.0,88.1,5.25
483,20,0.1,Palladium,6.7,4,36.8,53.3,95.6,3.95
484,20,0.1,Nickel,8.1,4,38.3,42.5,86.1,8.02
485,20,0.5,None,6.6,4,21.7,61.5,88.6,12.65
486,20,0.5,Platinum,7.4,4,45.0,63.1,90.7,8.07
487,20,0.5,Palladium,6.8,4,42.5,46.2,88.1,1.36
488,20,0.5,Nickel,6.6,4,33.7,62.6,81.1,8.48
489,20,1.0,None,7.8,4,14.6,53.2,79.6,15.28
490,20,1.0,Platinum,7.4,4,56.6,47.8,96.0,1.41
491,20,1.0,Palladium,6.7,4,54.4,86.0,85.4,11.39
492,20,1.0,Nickel,6.4,4,46.2,65.2,87.2,7.82
493,20,2.0,None,6.8,4,26.2,75.9,90.0,8.92
494,20,2.0,Platinum,7.6,4,62.7,80.8,93.5,3.3
495,20,2.0,Palladium,8.1,4,53.0,75.0,90.3,10.73
496,20,2.0,Nickel,7.2,4,43.5,75.5,92.4,5.2
497,20,5.0,None,6.3,4,41.6,116.3,89.9,8.17
498,20,5.0,Platinum,7.0,4,70.0,99.6,87.7,9.88
499,20,5.0,Palladium,7.4,4,56.1,115.3,88.3,9.62
500,20,5.0,Nickel,7.5,4,47.3,94.8,93.8,14.87
501,30,0.1,None,7.7,4,7.6,44.5,81.6,11.15
502,30,0.1,Platinum,6.5,4,39.5,45.9,89.1,0.65
503,30,0.1,Palladium,6.9,4,30.2,39.2,85.4,8.75
504,30,0.1,Nickel,6.5,4,29.2,53.3,89.9,6.08
505,30,0.5,None,7.5,4,23.4,57.4,88.3,11.81
506,30,0.5,Platinum,8.1,4,48.0,59.9,88.2,4.34
507,30,0.5,Palladium,7.1,4,40.4,54.0,91.1,4.98
508,30,0.5,Nickel,6.7,4,31.6,40.0,90.4,8.67
509,30,1.0,None,6.8,4,29.2,51.3,90.8,9.06
510,30,1.0,Platinum,7.1,4,54.8,66.4,93.7,1.34
511,30,1.0,Palladium,7.3,4,42.0,60.0,92.4,6.3
512,30,1.0,Nickel,7.1,4,47.3,74.9,86.3,12.15
513,30,2.0,None,6.8,4,30.4,57.1,94.2,12.34
514,30,2.0,Platinum,6.7,4,60.4,66.7,92.5,6.47
515,30,2.0,Palladium,6.7,4,52.7,69.6,94.2,7.51
516,30,2.0,Nickel,6.6,4,34.7,46.3,87.1,9.44
517,30,5.0,None,7.2,4,41.6,96.0,79.3,11.03
518,30,5.0,Platinum,6.4,4,65.5,98.9,93.3,5.49
519,30,5.0,Palladium,7.3,4,64.4,119.9,81.9,6.8
520,30,5.0,Nickel,6.7,4,52.2,95.2,92.1,9.77
521,40,0.1,None,7.3,4,15.9,53.4,86.6,14.2
522,40,0.1,Platinum,7.2,4,45.4,26.6,94.6,6.75
523,40,0.1,Palladium,7.4,4,42.9,57.8,93.1,4.94
524,40,0.1,Nickel,6.8,4,24.9,39.9,89.5,4.96
525,40,0.5,None,5.8,4,26.4,55.3,87.9,12.34
526,40,0.5,Platinum,6.3,4,45.6,38.6,94.4,5.22
527,40,0.5,Palladium,7.5,4,47.2,72.0,,2.28
528,40,0.5,Nickel,7.3,4,30.5,62.9,86.7,10.94
529,40,1.0,None,6.3,4,33.2,50.5,85.0,10.12
530,40,1.0,Platinum,7.3,4,55.8,57.8,93.8,6.46
531,40,1.0,Palladium,6.2,4,40.4,70.7,86.3,7.93
532,40,1.0,Nickel,6.4,4,37.9,45.8,84.7,11.17
533,40,2.0,None,6.9,4,31.1,61.0,88.5,13.75
534,40,2.0,Platinum,7.3,4,59.9,86.9,,9.28
535,40,2.0,Palladium,7.3,4,45.5,86.1,88.2,6.01
536,40,2.0,Nickel,6.7,4,43.4,82.0,91.0,7.45
537,40,5.0,None,6.6,4,47.9,89.0,82.9,8.61
538,40,5.0,Platinum,6.4,4,70.7,110.3,88.9,8.81
539,40,5.0,Palladium,7.2,4,63.7,91.1,87.1,11.22
540,40,5.0,Nickel,6.2,4,54.0,104.1,93.5,10.5
541,50,0.1,None,7.0,4,17.8,43.3,91.3,7.07
542,50,0.1,Platinum,7.1,4,43.2,31.4,94.0,5.24
543,50,0.1,Palladium,6.4,4,37.2,58.8,85.1,5.42
544,50,0.1,Nickel,8.0,4,31.8,46.0,84.6,8.17
545,50,0.5,None,6.2,4,29.6,61.5,82.4,8.77
546,50,0.5,Platinum,6.0,4,47.6,54.6,94.8,6.39
547,50,0.5,Palladium,6.1,4,48.4,35.0,88.7,7.19
548,50,0.5,Nickel,6.9,4,49.1,61.8,92.3,7.97
549,50,1.0,None,7.1,4,32.4,61.7,86.9,9.15
550,50,1.0,Platinum,7.4,4,61.6,64.2,92.5,11.76
551,50,1.0,Palladium,7.3,4,51.4,44.4,92.9,12.63
552,50,1.0,Nickel,6.5,4,38.1,42.6,88.2,13.64
553,50,2.0,None,6.7,4,44.0,62.4,83.3,15.77
554,50,2.0,Platinum,7.2,4,68.5,68.4,88.0,6.44
555,50,2.0,Palladium,7.5,4,51.8,70.2,95.9,7.63
556,50,2.0,Nickel,6.7,4,55.6,51.9,,10.31
557,50,5.0,None,7.6,4,54.8,98.9,80.6,10.37
558,50,5.0,Platinum,7.0,4,64.2,95.8,90.8,10.08
559,50,5.0,Palladium,7.4,4,60.0,99.7,90.2,13.2
560,50,5.0,Nickel,7.8,4,56.2,75.9,92.5,11.19
561,60,0.1,None,6.6,4,16.5,37.5,77.5,14.75
562,60,0.1,Platinum,7.2,4,49.2,29.1,93.9,9.63
563,60,0.1,Palladium,6.9,4,37.1,56.9,83.9,6.23
564,60,0.1,Nickel,7.2,4,31.0,65.0,88.9,14.15
565,60,0.5,None,7.2,4,38.6,61.5,86.8,14.38
566,60,0.5,Platinum,6.6,4,56.1,50.5,93.8,0
567,60,0.5,Palladium,7.4,4,53.1,47.6,97.5,7.68
568,60,0.5,Nickel,7.3,4,31.4,36.3,93.9,5.72
569,60,1.0,None,7.4,4,34.4,36.2,79.9,10.38
570,60,1.0,Platinum,7.5,4,56.7,49.0,91.0,3.72
571,60,1.0,Palladium,7.4,4,51.9,60.5,85.6,5.89
572,60,1.0,Nickel,7.3,4,42.2,61.5,93.4,6.64
573,60,2.0,None,6.4,4,36.3,69.2,75.6,15.88
574,60,2.0,Platinum,6.7,4,71.8,62.2,100,10.31
575,60,2.0,Palladium,7.3,4,52.5,57.0,84.8,4.3
576,60,2.0,Nickel,7.1,4,48.6,77.1,86.3,7.27
577,60,5.0,None,7.3,4,49.6,90.5,79.9,13.14
578,60,5.0,Platinum,7.1,4,75.2,101.5,81.9,8.8
579,60,5.0,Palladium,7.4,4,63.8,92.2,86.8,9.33
580,60,5.0,Nickel,7.2,4,54.4,92.3,90.7,9.05
581,70,0.1,None,,4,30.6,36.0,81.1,11.07
582,70,0.1,Platinum,7.6,4,52.0,50.5,82.5,4.01
583,70,0.1,Palladium,7.3,4,47.5,58.3,94.3,4.1
584,70,0.1,Nickel,6.2,4,33.3,34.2,90.7,8.34
585,70,0.5,None,6.6,4,22.1,53.1,87.6,4.99
586,70,0.5,Platinum,7.3,4,58.8,31.5,97.6,1.86
587,70,0.5,Palladium,7.3,4,37.9,49.8,95.9,0
588,70,0.5,Nickel,7.6,4,37.5,29.6,85.6,7.17
589,70,1.0,None,6.8,4,45.1,62.8,82.3,8.97
590,70,1.0,Platinum,6.9,4,55.3,37.6,88.3,5.93
591,70,1.0,Palladium,6.3,4,59.0,42.2,94.1,4.2
592,70,1.0,Nickel,7.1,4,48.5,42.7,87.7,9.01
593,70,2.0,None,6.3,4,37.0,40.2,82.4,9.95
594,70,2.0,Platinum,6.3,4,59.8,52.3,97.5,3.94
595,70,2.0,Palladium,6.9,4,64.0,57.0,86.5,8.65
596,70,2.0,Nickel,7.3,4,51.8,65.1,85.0,9.49
597,70,5.0,None,6.4,4,43.8,96.9,83.2,13.49
598,70,5.0,Platinum,6.8,4,65.1,85.3,88.5,9.1
599,70,5.0,Palladium,7.4,4,62.0,73.9,87.2,12.84
600,70,5.0,Nickel,7.3,4,59.8,70.5,85.7,13.52
601,80,0.1,None,8.2,4,15.1,26.3,85.1,8.53
602,80,0.1,Platinum,7.0,4,33.9,31.8,90.7,0
603,80,0.1,Palladium,6.9,4,35.6,30.9,94.8,3.47
604,80,0.1,Nickel,6.8,4,22.5,31.5,89.3,10.5
605,80,0.5,None,7.9,4,34.1,35.4,81.8,8.84
606,80,0.5,Platinum,7.7,4,52.2,41.5,94.6,3.68
607,80,0.5,Palladium,8.0,4,45.1,23.8,90.9,7.0
608,80,0.5,Nickel,6.8,4,33.5,58.0,79.7,8.62
609,80,1.0,None,7.0,4,35.5,57.8,87.0,6.95
610,80,1.0,Platinum,7.1,4,58.5,60.1,98.0,6.2
611,80,1.0,Palladium,7.8,4,63.0,42.5,91.0,7.36
612,80,1.0,Nickel,6.1,4,42.5,37.7,87.2,7.35
613,80,2.0,None,6.7,4,39.0,49.8,84.7,3.09
614,80,2.0,Platinum,6.8,4,64.2,51.3,100.0,10.4
615,80,2.0,Palladium,7.3,4,51.0,53.7,87.9,3.83
616,80,2.0,Nickel,7.2,4,53.8,65.7,78.4,6.33
617,80,5.0,None,5.8,4,39.7,93.9,88.4,15.97
618,80,5.0,Platinum,7.4,4,74.1,85.6,91.8,4.94
619,80,5.0,Palladium,6.3,4,60.8,81.3,89.7,3.84
620,80,5.0,Nickel,7.6,4,60.0,78.0,94.5,10.98
621,90,0.1,None,6.2,4,20.4,24.4,90.3,9.04
622,90,0.1,Platinum,7.0,4,50.0,24.4,87.4,5.91
623,90,0.1,Palladium,7.3,4,38.4,47.3,95.0,6.27
624,90,0.1,Nickel,8.0,4,26.3,40.4,92.3,12.2
625,90,0.5,None,7.4,4,17.7,43.0,78.4,5.17
626,90,0.5,Platinum,6.8,4,41.9,45.7,96.2,9.7
627,90,0.5,Palladium,6.7,4,47.3,23.2,95.0,5.42
628,90,0.5,Nickel,6.7,4,34.8,38.8,90.7,9.7
629,90,1.0,None,7.6,4,30.7,42.0,83.2,11.95
630,90,1.0,Platinum,6.4,4,60.6,26.9,98.1,9.13
631,90,1.0,Palladium,7.2,4,49.1,53.2,95.1,13.39
632,90,1.0,Nickel,6.5,4,44.8,48.0,88.0,6.92
633,90,2.0,None,7.5,4,29.8,47.4,83.7,12.31
634,90,2.0,Platinum,6.7,4,67.2,42.6,89.6,5.77
635,90,2.0,Palladium,7.2,4,51.0,62.9,90.8,7.0
636,90,2.0,Nickel,6.8,4,37.9,54.3,92.7,6.52
637,90,5.0,None,6.9,4,41.5,79.4,86.3,5.35
638,90,5.0,Platinum,6.6,4,70.9,88.4,91.2,6.43
639,90,5.0,Palladium,6.9,4,66.4,88.9,93.8,13.84
640,90,5.0,Nickel,8.0,4,59.5,85.7,86.6,8.49
