sample_id,group,batch,GENE_000,GENE_001,GENE_002,GENE_003,GENE_004,GENE_005,GENE_006,GENE_007,GENE_008,GENE_009,GENE_010,GENE_011,GENE_012,GENE_013,GENE_014,GENE_015,GENE_016,GENE_017,GENE_018,GENE_019,GENE_020,GENE_021,GENE_022,GENE_023,GENE_024,GENE_025,GENE_026,GENE_027,GENE_028,GENE_029,GENE_030,GENE_031,GENE_032,GENE_033,GENE_034,GENE_035,GENE_036,GENE_037,GENE_038,GENE_039,GENE_040,GENE_041,GENE_042,GENE_043,GENE_044,GENE_045,GENE_046,GENE_047,GENE_048,GENE_049
S0063,Control,Batch1,5.3,86.33,3.53,69.34,114.34,93.49,18.22,73.38,18.24,22.47,235.4,3.32,68.94,3.63,43.53,7.67,66.17,19.57,25.5,4.61,25.89,14.94,90.42,151.72,16.8,44.59,102.9,26.49,9.83,4.19,12.14,9.69,45.99,7.14,63.64,39.96,14.64,35.22,48.32,9.89,14.61,25.14,42.85,74.37,35.15,4.01,13.14,6.56,33.36,126.73
S0064,Treatment,Batch1,33.58,134.94,35.16,101.07,40.17,33.16,116.67,166.92,27.51,106.28,46.0,4.4,12.99,15.42,9.27,8.28,9.42,11.09,80.82,17.25,11.48,7.04,4.68,35.13,73.77,43.63,56.23,10.68,14.23,31.16,27.0,4.7,13.25,113.42,6.8,18.85,22.33,37.38,29.02,13.04,12.37,142.33,9.82,3.46,25.81,11.4,3.61,11.37,32.2,45.15
S0065,Treatment,Batch3,110.2,95.59,59.91,38.58,55.33,44.41,451.24,101.44,55.58,127.63,9.43,29.88,30.69,269.04,3.85,59.57,16.14,9.36,88.11,16.05,6.46,8.33,57.18,19.09,5.39,12.71,2.54,9.2,18.27,80.64,16.96,55.71,21.02,15.84,14.14,2.78,6.6,55.13,2.14,13.72,16.54,16.37,10.12,23.09,24.88,9.02,81.21,8.84,36.82,25.2
S0066,Control,Batch1,37.96,33.51,18.7,53.97,66.58,4.74,10.88,5.58,4.48,3.25,4.99,44.53,38.46,10.92,16.33,14.49,22.3,79.41,13.41,20.12,14.4,8.95,34.23,19.32,6.84,49.16,36.05,23.42,6.36,21.98,20.06,53.02,14.76,35.98,18.4,18.88,32.97,20.18,35.0,54.17,79.66,679.36,65.28,12.93,65.77,37.21,14.12,3.13,25.59,7.21
S0067,Control,Batch3,3.64,31.38,88.83,28.1,72.63,18.53,0.56,33.43,10.17,17.02,63.29,15.25,33.13,4.91,14.31,45.35,69.15,20.8,31.85,36.49,53.82,32.14,17.25,4.78,7.77,14.89,9.09,113.77,30.68,29.11,11.01,8.96,25.95,13.85,7.84,47.64,18.87,25.93,422.66,10.79,17.55,46.81,42.85,57.69,87.32,20.75,138.16,18.35,16.41,7.82
S0068,Treatment,Batch2,56.93,61.08,42.36,57.27,255.22,17.12,10.43,5.6,28.16,36.59,73.56,42.02,57.78,24.16,6.25,4.99,91.02,10.28,115.06,15.02,7.8,38.17,28.55,46.02,93.35,9.08,59.15,110.34,19.63,11.64,3.6,7.55,168.37,41.47,7.76,8.57,29.13,132.83,37.7,21.77,37.23,58.63,42.31,19.5,104.19,22.77,21.12,22.19,9.39,45.06
S0069,Treatment,Batch2,10.43,251.0,11.93,27.99,12.33,29.52,7.18,20.41,75.44,20.52,1.66,16.59,12.67,5.37,2.56,7.3,11.17,170.64,13.22,26.53,4.17,47.52,85.61,67.59,20.3,33.48,16.74,24.79,101.89,17.82,2.64,13.16,38.27,,19.91,28.44,0.93,36.62,195.96,18.59,64.07,17.27,10.33,12.39,4.41,23.42,18.1,4.21,25.75,19.42
S0070,Control,Batch2,24.75,5.42,47.28,18.23,187.86,15.5,8.04,148.88,71.77,12.5,8.75,11.19,222.79,20.43,,25.62,39.78,21.38,8.12,20.82,9.83,63.5,26.25,64.96,32.05,11.92,3.48,18.59,19.11,3.69,8.81,52.68,32.08,18.66,25.0,33.36,48.84,17.16,1.22,6.44,39.22,7.82,74.94,7.74,25.99,24.18,187.82,11.24,8.95,47.07
S0071,Treatment,Batch2,42.98,10.72,28.05,34.34,73.63,56.26,70.68,110.54,28.98,20.5,10.19,4.27,4.01,3.41,45.2,11.83,99.78,42.52,61.01,23.56,53.92,14.12,23.34,23.22,24.39,6.55,18.19,25.73,66.22,9.87,15.62,28.96,14.59,6.39,6.45,26.16,62.07,12.81,21.77,24.84,20.49,8.37,16.23,11.84,8.61,11.13,13.3,25.62,7.98,12.76
S0072,Control,Batch2,11.49,20.76,24.72,27.01,23.68,16.36,33.81,17.22,5.96,31.95,12.82,12.24,5.14,29.23,47.93,11.66,33.23,73.34,34.2,18.73,4.06,24.39,32.19,40.99,52.4,10.94,5.48,24.77,110.93,20.2,32.67,21.05,19.35,52.13,52.32,19.72,5.51,113.33,42.82,46.03,44.46,4.89,18.47,34.47,74.73,9.1,262.8,14.96,37.57,38.82
S0073,Control,Batch1,55.48,82.18,238.01,132.15,62.28,4.38,28.84,7.53,5.25,37.43,17.24,73.04,3.74,4.88,,16.6,7.11,13.3,35.02,199.38,7.45,5.34,96.46,4.97,36.04,42.74,19.61,14.18,4.47,35.0,6.47,53.27,19.95,7.92,21.4,42.68,30.55,26.16,15.27,11.29,126.34,3.23,64.26,7.54,31.43,234.34,41.36,14.61,6.84,42.8
S0074,Treatment,Batch1,72.09,11.16,26.93,7.09,33.46,29.88,11.79,24.3,24.04,20.65,68.96,3.61,53.55,9.24,10.11,9.97,38.57,8.39,33.48,81.65,14.96,8.69,9.92,31.58,132.3,5.7,37.17,0.68,64.78,17.41,68.6,19.62,28.23,9.53,5.74,90.64,12.84,13.86,19.54,30.09,50.89,5.17,5.26,19.46,15.07,66.43,28.34,101.85,46.55,10.96
S0075,Treatment,Batch3,26.89,29.99,9.51,24.29,45.06,46.08,79.48,42.05,26.86,10.83,16.28,6.38,93.41,63.39,14.55,84.31,137.68,5.42,16.64,12.3,9.97,24.08,99.02,16.5,3.27,28.36,11.81,14.87,9.83,38.05,37.7,10.67,20.54,,3.34,71.7,73.98,12.18,23.65,15.66,110.55,12.96,23.36,17.48,26.59,70.41,8.69,7.74,34.23,17.9
S0076,Control,Batch2,25.62,8.72,15.35,35.08,42.73,9.76,55.51,70.74,38.24,5.0,99.31,5.65,7.83,14.88,43.9,25.71,119.64,6.29,69.82,7.61,21.82,2.84,26.71,18.25,38.15,34.43,23.56,2.02,2.78,18.57,11.3,121.92,11.79,22.51,18.28,23.09,18.47,16.54,39.28,25.87,51.95,26.77,38.65,42.0,3.48,440.31,,8.46,13.71,14.49
S0077,Control,Batch3,6.04,28.2,29.54,62.03,82.64,99.16,17.24,79.58,16.3,9.09,3.85,5.93,10.81,12.35,343.42,86.73,33.3,67.12,60.64,45.73,136.16,3.82,22.06,15.15,4.88,106.52,16.03,26.27,17.58,12.09,22.14,16.16,3.75,66.02,79.81,7.3,33.24,10.17,0.59,19.39,4.44,17.16,26.83,4.0,5.49,12.77,7.51,17.61,4.37,14.76
S0078,Control,Batch3,38.66,47.56,10.94,9.21,34.69,50.54,215.58,29.32,14.4,6.91,2.27,58.43,24.31,4.32,8.17,47.26,18.66,89.5,1.64,50.87,284.37,86.75,11.81,16.6,9.27,32.89,13.41,38.34,7.73,12.11,14.57,41.69,9.97,31.44,9.88,59.34,12.46,31.06,27.84,48.27,9.32,47.05,7.41,36.73,8.44,31.6,51.74,32.19,52.4,15.84
S0079,Control,Batch2,86.92,11.02,11.67,14.06,10.01,21.13,6.6,145.17,17.58,50.31,116.94,28.77,1.96,3.44,15.87,16.37,9.14,7.52,49.2,11.11,7.96,16.14,24.08,27.88,14.9,48.81,2.79,2.04,3.03,56.1,19.09,35.35,39.45,6.5,17.38,13.05,12.94,169.2,29.6,20.02,28.17,36.44,7.76,44.47,92.15,64.97,51.85,132.24,9.7,12.44
S0080,Treatment,Batch1,25.1,54.71,25.77,41.21,37.33,12.65,15.13,16.32,59.06,163.86,4.1,7.79,18.46,30.62,80.26,8.44,406.12,50.44,32.19,68.09,46.31,17.06,61.7,2.15,3.94,45.67,12.36,58.2,38.81,16.08,27.28,7.64,8.08,21.81,23.78,95.54,7.22,21.47,3.94,73.47,14.14,24.58,271.1,4.15,9.27,104.8,13.11,40.18,9.22,47.9
S0081,Treatment,Batch3,9.03,136.28,44.88,35.66,255.57,28.09,48.76,16.84,7.96,39.4,10.81,22.52,16.87,121.06,88.46,31.16,42.61,16.75,5.17,6.49,68.37,23.64,6.99,48.84,102.26,4.73,13.02,24.02,33.4,20.67,27.69,125.43,207.28,51.24,22.21,13.33,50.47,8.59,16.15,8.41,8.22,17.05,6.2,136.36,20.09,7.45,48.85,68.5,45.05,20.7
S0082,Treatment,Batch2,102.84,187.69,20.25,29.22,18.02,216.97,149.04,23.34,13.71,83.34,22.32,4.94,39.25,19.31,15.16,35.24,5.37,31.52,10.89,36.77,14.46,4.09,12.96,12.3,45.77,30.15,13.74,19.7,25.08,10.73,70.37,10.4,48.19,12.14,23.54,8.7,57.8,8.84,5.82,11.14,29.37,15.46,42.8,5.22,15.94,20.36,83.99,3.65,4.96,8.44
S0083,Control,Batch1,9.86,51.07,8.04,13.41,10.42,8.85,16.63,20.03,32.56,200.93,5.69,16.67,73.86,6.97,38.36,38.6,63.48,43.09,8.25,15.78,11.68,13.2,38.85,10.59,16.42,7.5,21.47,4.79,27.38,11.12,14.77,11.77,8.02,51.71,20.48,14.81,55.44,30.16,69.72,4.41,56.01,6.43,15.75,104.93,24.0,12.55,7.1,39.55,35.04,20.4
S0084,Control,Batch3,36.02,31.76,29.93,6.08,9.24,33.64,17.26,20.57,46.78,24.8,15.72,12.58,7.99,17.7,11.51,2.78,10.08,6.19,9.15,121.9,183.9,9.55,33.43,17.0,3.97,2.97,69.94,6.38,21.56,13.48,80.11,3.9,6.79,6.33,27.39,25.66,19.31,91.77,30.04,56.04,63.99,29.48,53.87,5.49,7.21,6.57,2.05,44.47,3.01,6.42
S0085,Treatment,Batch3,23.44,18.27,21.18,33.92,7.19,9.51,606.45,79.47,32.05,31.64,182.38,8.51,7.73,9.24,,29.45,10.51,40.14,45.22,91.07,76.08,39.39,44.86,14.58,54.02,3.56,19.03,9.49,41.68,10.95,25.52,13.46,16.48,2.67,7.57,9.19,17.81,28.94,69.48,22.19,39.14,14.52,112.45,61.26,4.19,53.85,79.49,13.86,70.67,13.37
S0086,Control,Batch3,17.73,89.65,42.17,2.63,7.32,17.6,12.54,62.93,4.15,11.62,70.59,16.52,19.57,65.91,14.45,7.02,23.71,7.98,6.46,67.36,23.75,12.22,21.09,4.44,58.81,17.83,44.91,21.32,31.05,37.58,10.34,15.02,34.16,32.25,31.31,10.63,18.94,9.08,17.41,76.51,10.64,5.99,17.11,34.19,5.22,17.05,42.75,110.23,70.41,2.82
S0087,Treatment,Batch3,66.88,64.25,93.21,71.32,9.53,6.94,89.79,27.28,40.48,86.0,18.53,29.09,5.8,12.53,7.51,5.01,8.69,21.67,14.48,31.11,55.72,23.74,26.41,158.87,7.66,27.34,12.98,16.64,14.17,11.65,22.18,49.38,94.02,18.2,33.84,9.92,44.68,28.13,11.6,19.31,20.99,8.8,228.45,12.19,10.52,6.5,15.13,2.18,3.28,17.79
S0088,Treatment,Batch3,14.36,22.58,33.12,59.89,55.32,331.39,123.97,31.96,98.12,30.08,8.73,45.34,32.66,55.25,9.88,9.39,59.96,68.8,29.83,54.14,13.11,18.3,5.43,16.76,34.28,42.35,10.0,15.8,21.21,14.59,14.68,22.75,10.01,52.57,12.29,16.89,14.26,84.76,9.49,48.39,30.34,11.64,17.13,7.81,19.07,26.22,11.24,123.51,41.28,28.98
S0089,Treatment,Batch2,93.79,84.68,30.7,11.24,212.07,62.51,19.93,93.78,43.63,10.77,30.19,363.85,18.04,62.85,49.22,3.6,25.98,25.4,16.9,10.81,27.04,115.3,40.32,20.11,36.82,12.89,10.08,13.31,23.78,106.21,49.83,27.73,14.73,91.82,5.67,16.97,114.88,81.99,36.79,42.84,10.11,49.31,30.81,87.59,11.04,51.23,18.97,58.94,9.53,8.3
S0090,Treatment,Batch1,23.8,44.54,87.98,4.44,72.84,18.52,68.7,4.24,56.32,17.19,56.1,8.94,4.06,6.9,2.59,59.05,26.35,36.59,50.74,5.11,6.52,27.15,5.09,23.93,21.96,25.0,5.33,38.43,37.83,4.18,19.06,42.43,7.12,33.59,6.6,36.85,24.71,63.89,1.39,2.58,42.75,37.14,100.94,19.63,39.62,25.44,17.75,7.54,5.82,4.7
S0091,Control,Batch1,44.84,3.59,29.15,9.61,16.35,114.12,3.12,9.75,124.63,38.91,9.94,92.34,4.17,87.42,226.93,6.05,12.76,32.6,36.22,25.75,17.2,10.91,98.7,13.58,31.86,49.22,43.17,2.87,28.33,13.47,16.6,17.24,33.83,32.79,11.52,39.29,8.43,25.7,2.32,9.72,151.95,26.22,9.91,57.62,15.77,10.47,8.2,55.26,19.42,21.17
S0092,Control,Batch1,9.27,25.43,49.46,17.56,9.34,11.9,4.53,42.89,16.39,10.23,54.96,8.48,21.16,24.19,14.04,20.61,24.11,46.62,22.81,43.07,50.73,47.5,9.92,32.14,10.71,20.38,4.7,71.57,20.07,13.1,39.3,90.56,5.55,73.85,56.76,24.85,30.33,8.31,8.59,6.71,13.12,45.65,21.3,6.34,8.71,46.69,6.19,1.38,153.26,59.91
S0093,Control,Batch3,7.63,17.36,7.71,105.11,50.98,10.43,22.91,50.08,22.96,82.29,8.65,6.75,72.84,35.48,21.01,43.92,16.91,12.23,38.79,2.44,25.2,24.18,18.72,24.28,26.24,25.89,15.31,10.36,30.78,36.53,7.53,147.11,29.37,,32.21,45.75,3.84,17.49,22.92,5.32,5.75,19.12,16.9,16.03,71.22,4.28,12.79,35.39,10.21,60.61
S0094,Control,Batch2,25.34,138.93,48.47,13.18,70.52,20.68,17.09,33.66,5.47,7.43,10.68,35.73,16.27,17.56,20.26,37.61,9.52,20.52,8.05,75.73,98.86,9.31,8.11,44.79,9.45,18.63,14.56,33.84,9.84,56.36,28.55,29.26,65.89,50.44,11.76,3.91,4.16,21.23,116.76,11.4,20.47,25.08,14.44,7.29,43.87,138.42,9.49,41.18,76.74,18.02
S0095,Control,Batch3,4.7,80.37,18.16,23.67,24.15,8.03,75.14,6.27,67.58,18.72,6.64,30.42,1.73,73.71,19.63,4.55,31.14,17.3,48.08,3.11,16.8,10.58,6.76,29.43,12.57,27.17,15.15,11.23,11.04,48.09,368.51,56.57,34.25,15.7,39.91,82.28,20.09,37.94,10.8,23.81,11.96,38.56,11.02,4.98,72.25,7.71,41.48,7.02,26.04,8.41
S0096,Treatment,Batch3,400.58,301.96,183.08,8.52,11.58,42.38,7.18,86.31,7.09,94.26,26.66,8.74,109.42,175.44,17.35,61.44,3.31,5.32,17.66,4.78,16.2,16.15,41.85,134.79,1.11,7.67,17.67,123.84,87.28,12.75,9.72,18.73,38.07,7.54,62.21,26.42,5.96,45.07,55.89,16.87,55.99,42.59,48.3,12.44,8.44,5.91,8.59,51.33,6.37,12.64
S0097,Control,Batch3,48.79,10.0,6.33,43.87,28.27,5.93,2.6,68.42,60.75,24.93,2.82,23.35,10.75,6.24,252.22,4.9,56.33,33.82,7.49,12.56,6.93,22.41,10.73,5.03,24.74,11.29,14.49,24.94,45.45,67.5,23.23,12.0,46.0,5.7,40.11,34.98,3.95,7.91,25.93,5.85,21.76,9.6,58.74,6.86,15.76,31.79,22.84,87.27,42.94,4.69
S0098,Treatment,Batch2,115.85,39.86,328.27,7.24,76.72,6.49,21.15,241.08,19.93,30.9,15.65,94.83,8.05,43.7,15.12,21.85,32.27,61.11,22.14,21.09,16.25,53.07,4.09,234.42,105.36,3.03,12.33,59.43,2.99,13.24,22.82,5.66,30.68,25.56,24.61,7.12,6.27,4.8,14.05,41.26,54.7,12.42,9.9,10.6,2.74,11.05,7.32,79.66,13.17,10.36
S0099,Treatment,Batch3,16.84,46.29,104.62,61.72,23.24,267.44,19.98,139.21,4.28,91.97,26.3,35.43,38.54,13.33,6.05,,50.12,138.27,82.36,100.13,15.36,6.4,7.93,121.3,133.2,13.83,34.55,30.3,101.24,17.62,5.31,5.19,17.72,,27.15,29.35,15.65,45.51,41.3,8.36,7.08,89.66,3.2,29.84,14.86,5.08,18.05,12.1,9.15,10.36
S0100,Control,Batch1,46.6,27.47,13.48,7.59,7.43,145.18,4.02,264.9,78.19,11.96,95.78,2.49,98.64,51.89,4.39,12.05,33.21,3.92,9.1,46.64,37.39,24.07,55.05,29.12,24.72,12.8,27.1,73.76,16.26,26.33,4.29,12.68,128.42,21.79,82.76,2.86,9.58,59.44,81.28,17.4,4.72,40.7,36.47,25.1,11.68,27.93,48.31,62.48,6.02,21.79
S0101,Control,Batch3,17.26,24.45,16.44,6.34,44.03,36.52,10.57,5.78,36.18,31.53,19.04,12.28,11.04,11.13,38.55,19.13,41.2,46.6,17.61,8.02,9.04,19.78,64.94,8.47,11.65,8.88,47.67,21.8,8.93,95.24,18.39,61.61,20.53,8.33,91.4,12.82,8.05,8.86,62.25,9.99,9.03,13.16,3.52,326.12,73.14,4.76,158.34,14.49,3.82,7.62
S0102,Control,Batch2,5.42,42.23,20.65,4.65,22.64,10.48,10.96,21.87,27.13,2.96,74.2,21.52,45.94,49.4,77.53,35.08,37.21,21.49,115.3,31.45,56.87,18.26,21.6,2.54,47.76,6.44,9.55,83.85,31.11,31.93,67.17,7.49,4.0,20.13,17.62,24.19,2.68,40.82,13.44,6.74,12.91,24.92,19.24,11.29,11.67,6.09,42.01,51.59,30.03,2.7
S0103,Treatment,Batch1,53.96,12.5,14.16,80.6,30.94,45.88,19.27,39.49,146.04,17.23,10.49,54.6,19.77,12.27,36.93,12.24,21.55,24.81,8.99,28.28,17.07,30.94,6.67,12.43,14.14,20.62,27.96,25.32,129.26,20.57,40.45,12.6,29.34,54.81,13.43,9.63,148.82,14.28,3.02,573.09,7.23,26.2,5.99,193.03,15.38,79.52,6.65,241.36,3.18,16.43
S0104,Control,Batch3,53.6,16.92,5.83,125.09,21.95,7.58,25.15,8.04,70.11,42.06,12.17,81.81,12.54,14.2,3.74,21.36,3.46,8.65,9.28,41.0,9.96,10.72,5.45,3.99,8.21,15.15,33.78,67.46,11.59,27.26,18.87,9.86,71.53,15.59,15.68,11.09,17.22,13.9,132.09,5.84,5.0,41.43,18.86,2.31,80.71,4.78,54.56,24.08,80.32,19.78
S0105,Treatment,Batch3,27.62,27.94,23.81,24.19,24.21,24.68,6.04,17.92,35.04,7.76,11.33,14.42,56.89,23.27,8.75,81.44,22.93,6.73,44.26,12.58,8.07,2.17,21.42,7.63,15.42,74.23,23.36,59.14,155.04,36.04,5.08,17.46,44.47,118.27,36.8,16.15,124.11,6.65,7.93,161.7,12.58,6.17,12.3,99.5,10.95,20.79,,22.02,11.98,119.86
S0106,Treatment,Batch2,65.94,73.08,29.21,28.97,83.69,13.41,5.16,14.98,109.51,91.89,2.92,71.86,4.55,5.9,26.41,12.47,26.77,21.29,4.11,29.45,57.3,62.09,15.16,16.8,24.87,148.55,39.32,8.64,29.86,8.62,27.29,201.87,86.77,8.44,7.1,20.1,592.53,10.67,61.02,15.85,12.52,10.65,204.58,6.38,4.37,12.03,11.29,5.18,24.69,33.52
S0107,Treatment,Batch2,9.92,73.11,18.32,164.29,54.01,27.34,87.49,87.99,59.31,14.84,15.78,24.01,7.54,117.4,22.32,5.73,31.43,131.93,97.51,9.02,8.13,38.75,9.89,1.79,13.83,22.08,58.65,8.88,8.69,31.63,50.75,24.36,6.35,25.0,55.14,22.81,10.39,54.77,46.19,3.1,14.86,22.8,47.72,11.65,22.35,10.65,,10.65,20.79,26.24
S0108,Treatment,Batch1,7.4,689.65,42.96,48.42,26.67,48.96,64.37,41.55,52.69,9.47,39.4,18.83,13.6,18.1,6.79,63.65,7.4,66.72,11.73,19.59,11.43,126.18,8.68,11.69,39.72,12.18,12.97,28.83,6.61,53.86,74.96,9.73,40.54,2.55,37.78,13.66,53.73,94.33,8.71,37.8,145.8,41.07,36.93,22.22,4.33,9.46,2.92,19.57,9.39,8.11
S0109,Control,Batch2,8.5,109.72,5.68,24.14,72.42,197.02,8.77,15.62,37.76,17.04,3.73,25.36,16.69,53.52,59.19,8.58,34.74,149.99,30.22,8.62,95.8,19.56,21.64,12.63,3.77,1.87,5.22,0.86,10.8,32.89,35.67,63.48,51.87,44.69,63.11,11.58,23.65,8.45,3.57,23.74,46.92,72.84,1.41,64.53,15.27,24.52,11.19,22.02,12.02,29.45
S0110,Control,Batch2,97.7,4.98,12.52,15.39,2.4,6.28,27.27,3.51,4.02,6.27,80.96,27.32,5.19,52.53,8.57,4.52,27.78,48.17,20.01,47.23,80.13,63.78,29.64,34.21,21.94,47.02,366.61,6.53,40.48,21.04,4.72,31.7,8.78,1.0,78.83,27.97,35.62,200.98,8.81,39.36,11.85,23.08,16.44,19.04,9.59,7.0,,15.99,7.57,13.1
S0111,Control,Batch3,8.82,12.21,26.64,15.91,4.37,35.9,34.32,28.69,11.61,7.42,30.46,13.57,32.85,126.16,26.91,7.27,4.96,11.19,4.81,9.53,10.22,26.39,53.39,19.27,12.82,55.73,13.61,24.16,13.14,48.37,59.99,12.44,44.04,27.06,10.54,40.68,20.84,15.02,26.06,26.96,19.34,50.22,31.68,5.33,10.05,11.45,15.27,18.99,18.33,107.28
S0112,Treatment,Batch3,27.61,42.03,27.16,16.41,177.2,60.81,64.59,32.5,21.56,95.37,9.68,39.49,44.56,29.42,36.2,13.08,10.5,61.04,95.23,8.65,3.59,32.39,33.33,13.85,60.88,9.34,8.12,6.76,19.57,24.34,63.75,16.99,16.5,102.26,43.59,26.69,21.74,12.8,13.49,37.11,108.34,24.59,13.61,52.16,24.3,11.99,14.12,11.63,47.2,23.65
S0113,Treatment,Batch3,131.76,98.04,29.87,32.04,19.02,42.11,14.01,21.98,22.23,23.59,14.25,113.82,7.64,6.52,3.95,1.91,27.72,40.18,6.48,22.2,26.39,58.05,33.25,12.86,47.61,2.51,47.14,69.19,147.16,10.32,8.11,55.1,43.15,29.02,80.07,22.25,24.7,54.71,126.26,13.71,49.58,5.63,20.91,11.32,23.37,6.88,26.84,35.01,19.44,30.79
S0114,Control,Batch2,5.22,239.17,25.57,20.57,58.32,4.65,48.15,15.66,84.32,17.46,5.73,9.48,201.99,36.72,10.77,2.69,62.41,5.39,19.16,7.53,3.49,35.26,37.8,11.91,20.11,177.5,10.68,31.34,234.8,13.28,19.9,19.32,7.27,57.04,60.91,19.63,23.29,2.08,66.96,56.53,89.91,19.8,28.12,10.16,9.22,61.43,21.66,71.81,30.77,10.73
S0115,Treatment,Batch3,15.64,46.91,31.94,21.82,275.86,144.42,65.91,72.55,68.72,318.03,10.69,7.73,11.88,15.49,5.34,50.73,58.14,4.36,2.35,15.19,14.17,17.25,29.1,12.81,7.82,21.25,6.13,10.72,43.2,6.64,55.55,23.06,38.36,16.03,55.0,18.81,17.69,47.16,28.02,72.1,19.02,12.43,5.82,28.87,190.17,36.03,,16.72,33.72,8.79
S0116,Treatment,Batch2,5.58,59.24,23.14,28.44,18.13,63.07,26.87,98.42,254.77,10.41,57.7,3.82,189.73,48.45,64.14,,5.29,3.54,18.08,30.5,11.38,13.94,5.37,48.71,48.55,20.13,18.61,6.66,57.88,28.1,18.82,26.81,31.65,10.79,26.44,11.53,40.32,23.06,18.46,49.4,6.98,26.14,1.18,36.6,40.4,19.17,5.77,7.26,39.83,60.49
S0117,Control,Batch1,19.51,16.87,20.19,14.05,18.21,99.55,10.94,29.31,23.83,10.58,18.94,2.08,34.27,30.57,8.16,11.62,129.0,10.17,40.21,40.73,39.86,64.41,34.51,27.67,41.32,19.93,5.35,6.51,7.71,167.16,49.69,10.19,9.34,39.0,4.97,8.24,55.76,39.22,22.9,8.48,14.04,6.17,50.08,1.9,12.29,19.31,8.9,26.29,126.92,11.54
S0118,Control,Batch3,23.92,20.22,9.53,9.19,67.45,44.0,24.74,56.71,2.93,12.66,19.39,25.15,8.78,10.06,18.1,8.97,165.6,7.56,17.88,64.08,18.9,9.64,48.07,52.77,52.31,24.65,1.67,15.18,9.21,29.49,44.7,4.75,64.88,32.78,12.94,2.39,123.22,38.01,2.19,36.77,12.69,32.32,19.63,54.87,5.01,23.1,138.6,9.27,12.33,51.79
S0119,Control,Batch2,6.82,37.07,61.77,15.37,74.25,1.9,4.07,30.27,7.2,16.36,57.15,9.37,9.79,4.97,5.26,5.06,5.94,20.8,57.25,15.67,2.4,2.57,3.46,27.35,25.49,52.02,5.54,14.26,17.73,159.13,147.32,23.44,132.44,14.61,14.63,50.15,25.94,15.62,35.94,10.53,10.76,11.5,32.14,12.52,11.14,20.06,9.59,35.2,4.56,29.97
S0120,Treatment,Batch2,81.23,9.02,136.35,21.06,99.57,14.15,59.78,129.88,39.61,111.67,52.41,11.0,7.02,101.5,12.46,62.64,6.36,21.4,130.97,98.37,14.87,43.43,15.45,4.8,190.08,11.42,27.62,10.5,5.68,23.91,57.38,8.14,13.01,23.74,36.23,6.1,90.99,111.1,20.75,6.82,12.87,84.47,24.69,3.98,15.73,74.17,17.57,32.99,143.3,15.23
S0121,Treatment,Batch1,45.02,63.62,100.35,20.79,223.49,10.63,11.06,29.48,37.93,8.17,23.92,15.35,59.32,23.44,73.28,92.73,13.1,16.94,21.63,10.59,17.75,10.5,23.25,11.0,72.25,190.37,4.21,17.17,27.39,7.3,18.69,21.29,4.79,80.8,37.16,43.66,14.39,21.46,30.76,15.62,37.02,16.13,34.15,8.42,20.24,26.55,18.31,170.2,14.77,48.11
S0122,Control,Batch3,19.87,1.59,55.53,92.05,123.21,14.53,9.79,3.83,34.97,29.3,53.39,136.53,22.6,53.33,154.11,71.61,5.42,4.62,27.76,12.16,16.99,44.71,20.06,50.08,54.72,26.62,3.59,12.17,5.48,16.16,17.5,14.12,3.62,6.28,12.52,17.84,17.09,16.89,132.99,3.92,22.15,16.9,4.76,3.26,4.92,28.32,13.13,10.64,10.18,11.79
S0123,Treatment,Batch1,17.33,10.35,5.5,39.26,111.73,29.47,56.85,35.04,24.15,70.11,20.83,26.67,75.52,14.18,7.1,29.65,129.22,19.87,55.91,9.81,177.29,19.48,10.95,75.03,7.6,11.6,11.74,8.7,467.11,43.98,27.51,68.01,32.38,133.88,40.34,7.1,51.61,30.23,17.8,35.05,20.36,10.09,94.21,20.32,35.27,11.8,3.56,15.16,19.76,104.04
S0124,Treatment,Batch3,24.2,74.65,14.79,5.0,23.58,11.05,57.65,14.95,15.34,56.33,3.03,40.48,2.05,27.6,30.14,2.4,5.52,13.81,3.11,54.31,40.75,14.87,13.45,39.45,11.65,13.79,18.89,80.05,45.32,14.08,5.65,4.11,9.12,,8.31,47.72,43.6,21.96,7.13,70.79,14.19,65.97,18.8,10.19,55.86,13.82,45.1,11.96,91.6,1.46
S0125,Control,Batch2,16.65,65.24,22.31,21.9,12.56,3.76,10.76,12.06,3.92,31.98,22.76,14.85,6.84,4.88,80.39,21.0,48.22,16.99,3.65,31.68,11.05,4.06,69.09,59.66,92.76,12.32,38.84,69.25,32.06,13.56,11.22,5.62,20.31,65.67,16.33,28.43,131.85,10.64,52.62,98.51,13.68,39.87,20.26,4.89,24.52,28.85,25.44,28.46,36.18,13.29
S0126,Treatment,Batch1,34.49,13.93,84.88,29.05,29.66,338.52,21.61,82.15,13.69,91.07,4.45,46.01,14.23,63.2,7.57,140.03,20.3,7.51,23.25,37.04,13.55,7.57,144.01,12.07,4.62,124.54,122.06,27.04,13.92,101.49,52.4,42.95,14.83,42.01,70.56,149.35,82.06,25.63,38.89,17.84,24.01,65.09,12.21,113.36,40.02,30.22,19.4,82.81,26.06,7.19
